P,dP,minE,maxE,vD,dvD,vP,dvP,vS,dvS,mu,dmu,rho,drho,T
#0,0,2.7,9.7,3.061,0.03,6.017,0.027,2.714,0.028,56.1,1.2,7.617,0.004,300
#7.1,0.2,3.2,13.2,3.163,0.033,6.287,0.032,2.803,0.03,61.8,1.3,7.87,0.005,300
#13.4,0.1,2.8,10.3,3.282,0.056,6.947,0.255,2.902,0.051,68.2,2.4,8.102,0.026,300
#16.2,0.5,3.8,12.5,3.414,0.033,7.149,0.273,3.02,0.031,74.5,1.5,8.172,0.03,300
#23.4,1.7,2.7,11.5,3.438,0.051,7.507,0.325,3.036,0.046,77,2.3,8.35,0.043,300
#37.7,5.3,3.2,12,3.5,0.042,8.11,0.404,3.085,0.038,82.3,2,8.645,0.065,300
#45.6,3.1,2.7,11.5,3.244,0.042,8.28,0.447,2.853,0.038,71.5,1.9,8.788,0.077,300
#55,2.5,2.7,11.5,3.301,0.022,7.979,0.103,2.906,0.02,75.6,1,8.947,0.024,300
66,2.3,2.5,11.2,3.484,0.027,8.188,0.11,3.07,0.025,86.2,1.4,9.152,0.028,300
72,2,2.7,15.2,3.491,0.016,8.257,0.115,3.076,0.015,87.6,0.8,9.262,0.033,300
86.9,3.5,4.8,13.5,3.586,0.063,8.452,0.128,3.159,0.057,95.1,3.4,9.526,0.038,300
108.6,5.8,5.4,16.2,3.726,0.074,8.711,0.143,3.284,0.066,106.6,4.3,9.887,0.044,300
114.2,4.5,5.2,14,3.697,0.065,8.743,0.147,3.257,0.059,105.8,3.8,9.974,0.049,300
153.5,7,3.8,16.3,3.86,0.019,9.108,0.171,3.401,0.018,122.4,1.3,10.582,0.064,300
