Paper,Composition,Structure,Technique,Pressure medium,Pressure gauge,In situ XRD,P Range,T range,Fe Enrichment,Reported denisty,Reported velocities,M enriched,M natural
Antonangeli2010,Fe0.89Ni0.04Si0.07,hcp,IXS,Ne or None,ruby,Yes,27-108,300,Natural,,,,
Antonangeli2018,Fe,hcp,IXS,Re/cBN,"hcp Fe (Dewaele2006, Sakai2014)",Yes,63-167,300,Natural,,,,
Antonangeli2018,Fe0.91Si0.09,hcp,IXS,Re/cBN,hcp Fe-Si (Fei2017),Yes,42-144,300,Natural,,,,
Decremps,Fe,hcp,picosecond acoustics,Ar,ruby,,1.1-152,300,Natural,,,,
Lin2003a,Fe0.92Ni0.08,hcp,NRIXS,None,ruby (Mao1978),No,7.5-106,300,95% 57Fe,57Fe enriched,57Fe enriched,57.082,56.073
Lin2003a,Fe0.85Si0.15,hcp,NRIXS,boron epoxy,ruby (Mao1978),No,0-55.3,300,95% 57Fe,57Fe enriched,57Fe enriched,52.613,51.681
Lin2005,Fe,hcp,NRIXS,NaCl,ruby (Mao1978),Yes,36-73,300-1700,95% 57Fe,57Fe enriched,57Fe enriched,56.942,55.845
Liu2014,Fe,bcc,IXS,Ne,Au,,0-11,300-700,Natural,,,,
Liu2014,Fe0.85Si0.15,bcc,IXS,Ne,Au,,0-15,300,Natural,,,,
Liu2016,Fe,hcp,NRIXS,NaCl,hcp-Fe (Liu2016),Yes,145-206,300,95% 57Fe,57Fe enriched,57Fe enriched,56.95,55.85
Liu2016,Fe0.868Ni0.086Si0.046,hcp,IXS,Ne,hcp-FeNiSi (Liu2016),Yes,27-136,300,95% 57Fe,57Fe enriched,57Fe enriched,55.77,54.81
Liu2016,Fe0.868Ni0.086Si0.046,hcp,NRIXS,Ne and cBN,hcp-FeNiSi (Liu2016),Yes,30-133,300,95% 57Fe,57Fe enriched,57Fe enriched,55.77,54.81
Mao2001,Fe,hcp,NRIXS,None,ruby (Mao1978),Yes,0-153,300,95% 57Fe,57Fe enriched,57Fe enriched,56.942,55.845
Mao2008,Fe,hcp,NRIXS and IXS,None,hcp Fe (Jephcoat 1986),Yes,52,300,"95% 57Fe for NRIXS, natural for XRD",not rep,"vP is nat, vS is combination",56.942,55.845
Mao2012,Fe,hcp,IXS,Ne or NaCl,"hcp Fe (Dewaele2006, Uchida2001)",Yes,14-67,300-700,Natural,,,,
Mao2012,Fe0.85Si0.15,hcp,IXS,Ne,hcp Fe-Si (Lin2003),Yes,39-98,300,Natural,,,,
Murphy2013,Fe,hcp,NRIXS,Ne and/or cBN,hcp Fe (Dewaele2006),Yes,30-171,300,95% 57Fe,57Fe enriched,57Fe enriched,56.942,55.845
Sakairi2018,Fe0.89Si0.11,hcp,IXS,NaCl,"hcp Fe (Tateno2015, Fischer2014)",Yes,45-84,300-1800,Natural,,,,
Gleason2013,Fe,hcp,NRIXS,He or Ne,hcp Fe (Dewaele 2006),radial XRD,51-136,300,95% 57Fe,57Fe enriched,57Fe enriched,56.942,55.845
Ohtani2013,Fe,hcp,IXS,NaCl or none,hcp Fe (Dewaele 2006),Yes,25-174,300-1000,Natural,,,,
Mao2004,FeHx,,NRIXS,H2,ruby,Yes,0-52,300,95% 57Fe,57Fe enriched(?),57Fe enriched(?),,
Gao2008,Fe3C,,NRIXS,NaCl,ruby (Mao1978),No,0-50,300,94.45% 57Fe,57Fe enriched,57Fe enriched,,
Lin2004,Fe3S,,NRIXS,boron epoxy,ruby (Mao1978),No,0-21,300,65% 57Fe,57Fe enriched,57Fe enriched,,
Shibazaki2012,FeHx,,IXS,H2,ruby (Mao1986),Yes,6-70,300,Natural,,,,
Fiquet2009,Fe3C,,IXS,Ne,ruby,Yes,0-68,300,Natural,,,,
Chen2014,Fe7C3,,NRIXS,boron nitride epoxy and NaCl,"ruby, Au","Yes, but density from Chen 2012 EOS",0-154,300,94% 57Fe,57Fe enriched(?),57Fe enriched(?),,
Badro2007,FeO,,IXS,?,ruby,Yes,up to 90,300,Natural,,,,
Badro2007,FeSi,,IXS,?,ruby,Yes,up to 90,300,Natural,,,,
Badro2007,FeS2,,IXS,?,ruby,Yes,up to 90,300,Natural,,,,
Gao2011,Fe3C,,NRIXS,boron nitride and NaCl,ruby or NaCl,No,17-47,300-1450,95%(?) 57Fe,Natural,Natural,,
Wicks2017,FeO,,NRIXS,NaCl or boron epoxy,Mw94 (Wicks2015),Yes,0-96,300,95% 57Fe,57Fe enriched,57Fe enriched,,
Wicks2017,(Mg0.16Fe0.84)O,,NRIXS,NaCl or boron epoxy,Mw94 (Wicks2015),Yes,0-121,300,95% 57Fe,57Fe enriched,57Fe enriched,,
Wicks2017,(Mg0.06Fe0.94)O,,NRIXS,NaCl or boron epoxy,Mw94 (Wicks2015),Yes,0-85,300,95% 57Fe,57Fe enriched,57Fe enriched,,
Thompson2018,FeHx,,NRIXS,boron epoxy and paraffin,ruby (Mao1986),Yes,18.4-82,300,20Ð95% 57Fe enrichment,57Fe enriched,57Fe enriched,,
