V,dV,rho,drho,P,dP,vD,dvD,vP,dvP,vS,dvS,mu,dmu,KT,dKT,KS,dKS,Emin,Emax,T
#9.79,0.04,5.7,0.1,0,,3.24,0.01,6.83,0.08,2.86,0.01,46.8,0.3,197,7,201,7,3.8,13.8,300
#9.59,0.09,5.8,0.6,4,0.3,3.09,0.02,6.83,0.09,2.72,0.02,42.8,0.7,208,6,212,6,3.7,17.2,300
#9.26,0.09,6,0.6,11.4,0.3,3,0.03,6.93,0.08,2.65,0.02,41.9,0.7,228,6,231,6,3.5,16,300
#9.1,0.2,6.1,0.1,15,3,3.02,0.03,7.01,0.1,2.67,0.03,43,1,237,5,240,5,5.7,16,300
#8.9,0.08,6.2,0.6,21,0.4,3.06,0.03,7.13,0.07,2.7,0.02,45.2,8,252,5,255,5,3.8,14.8,300
#8.7,0.1,6.4,0.09,28,2,2.97,0.03,7.19,0.08,2.62,0.03,43.7,0.8,268,4,271,4,4.7,18.2,300
8.3,0.1,6.7,0.08,41,1,3.24,0.03,7.48,0.06,2.86,0.03,55,1,298,3,301,3,3.7,17.2,300
8.2,0.2,6.8,0.2,46,4,3.3,0.04,7.55,0.1,2.91,0.04,57,1,307,3,310,3,3.7,19.7,300
7.9,0.1,7,0.1,55,3,3.21,0.04,7.6,0.08,2.83,0.03,56,1,326,2,329,2,3.7,19.7,300
7.7,0.2,7.2,0.2,65,5,3.47,0.04,7.8,0.09,3.06,0.04,67,2,345,2,348,2,4.7,20.7,300
7.4,0.1,7.5,0.2,80,5,3.67,0.06,7.99,0.09,3.24,0.05,79,3,371,3,374,3,4.2,15.2,300
7.3,0.1,7.7,0.1,88,4,3.72,0.04,8.06,0.09,3.29,0.03,83,2,384,5,387,5,3.7,18.7,300
7.1,0.1,7.8,0.2,97,5,3.79,0.04,8.12,0.1,3.35,0.04,88,2,397,6,400,6,3.7,16.2,300
7,0.1,7.9,0.2,102,5,3.86,0.05,8.18,0.1,3.41,0.04,93,2,406,7,409,7,3.7,18.7,300
6.9,0.1,8.1,0.1,110,4,3.99,0.04,8.26,0.1,3.53,0.04,101,2,416,9,419,9,3.7,16.2,300
6.8,0.1,8.3,0.2,121,7,4.11,0.06,8.34,0.13,3.64,0.05,110,3,429,11,432,11,3.7,16.2,300
