rho,drho,vP,dvP,T
5.77,0.039,6150,49,300
6,0.04,6850,58,300
6.36,0.034,7400,66,300
6.6,0.048,7930,73,300
7.27,0.056,8910,88,300
7.147,0.062,8430,93,300
7.45,0.054,9160,110,300
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
