"# List of thermodynamic parameters of Fe$_{0.85}$Si$_{0.15}$. Errors are calculated from standard error propagation. For the last row, the partial phonon density of state was collected while the incident x-ray was perpendicular to the compression axis of the diamond anvil cell.",,,,,,,,,,,,,,,,,,,,,,
P,dP,KS,dKS,vD,dvD,rho,drho,vP,dvP,vS,dvS,mu,dmu,Ek,dEk,EZ,dEZ,Cvib,dCvib,Svib,dSvib,T
0,,163.5,4.2,3.254,0.003,7.42,0.01,5.77,0.05,2.9,0.01,62.4,0.4,14.21,0.07,6.8,0.05,2.718,0.011,3.185,0.01,300
4,0.7,183.9,6.1,3.395,0.014,7.59,0.03,6.04,0.07,3.03,0.01,69.6,0.5,14.25,0.01,6.94,0.01,2.709,0.023,3.108,0.021,300
9.4,0.1,211,11,3.591,0.007,7.81,0.01,6.38,0.11,3.2,0.02,80.1,1,14.36,0.1,7.25,0.07,2.686,0.014,2.976,0.013,300
24.1,0.5,273,26,3.82,0.019,8.49,0.02,6.9,0.22,3.4,0.02,98.3,1.2,14.44,0.19,7.48,0.15,2.668,0.025,2.889,0.021,300
36,0.7,330,35,4.203,0.015,8.84,0.02,7.49,0.26,3.75,0.02,124.1,1.4,14.84,0.14,8.44,0.11,2.588,0.019,2.564,0.015,300
45.9,1.6,376,43,4.384,0.013,9.1,0.04,7.85,0.3,3.91,0.02,138.9,1.5,14.98,0.14,8.75,0.11,2.559,0.017,2.479,0.014,300
55.3,1.3,420,51,4.594,0.015,9.32,0.03,8.21,0.33,4.09,0.02,156.2,1.6,15.36,0.13,9.51,0.1,2.488,0.016,2.288,0.013,300
70.4,3,488,63,4.607,0.02,9.64,0.06,8.54,0.38,4.1,0.02,161.8,1.9,15.29,0.15,9.4,0.12,2.5,0.019,2.301,0.015,300
55.3,1.3,420,51,4.479,0.015,9.32,0.03,8.14,0.33,3.99,0.02,148.2,1.6,15.13,0.13,9.1,0.1,2.528,0.016,2.367,0.012,300
