,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNi Peak 0 Intensity,0.29179242379902964,0.03448411789154881,0.22174345216649247,-0.016416708514024377,-0.000566641293071266,-0.0005816852962301696,-0.0011101271528505237,-0.0005201429791518762,-4.407544148087846e-05,0.00014089355814153758,-5.667371763850317e-05,-0.7778631811215799,0.0612305107830315,-0.0011871099879598394
hcp FeNi Peak 1 Intensity,0.03448411789154881,0.042477672838318783,0.06744235759264247,-0.019751580101285755,-0.00011879543277845441,0.00011182420195731362,-0.0003169231700060563,0.0001002879367792046,2.0177274558937494e-07,3.293815102184543e-07,4.4835023039611014e-07,0.36482613228796873,-0.029097887940361715,0.0005741385815434955
hcp FeNi Peak 2 Intensity,0.22174345216649247,0.06744235759264247,0.4256035891382384,-0.05636666659089686,-0.0009733046634841518,0.00039746320820572943,-0.0019696495663118706,0.00022476430917024845,-9.265282624767593e-07,-1.0641427413737216e-07,-3.8257621530268206e-06,-0.6610013086685828,0.05336200412936318,-0.001053977745247613
extrapeak Peak 0 Intensity,-0.01641670851402437,-0.01975158010128575,-0.05636666659089688,1.131048666048608,2.217000423514981e-05,-0.002143713715691466,0.00027417289199165636,-0.005342373538791838,6.101556061850871e-05,-0.00019852625224570992,-9.870648989582698e-06,-0.37312135430743815,0.031905462551872446,-0.0006632873193959769
hcp FeNi Peak Width,-0.000566641293071266,-0.00011879543277845441,-0.0009733046634841518,2.2170004235149835e-05,3.686782185436453e-06,-5.60685146956904e-07,4.562321325106595e-06,-1.517956939577829e-07,-1.6593282065760705e-08,6.545726629562653e-08,6.202171252292008e-08,0.004425161564990948,-0.00035274824715082645,6.905556022765014e-06
extrapeak Peak Width,-0.0005816852962301696,0.00011182420195731362,0.00039746320820572943,-0.0021437137156914664,-5.606851469569039e-07,9.592910490534986e-06,-1.915394077062919e-06,1.2726212244305933e-05,1.1331800062816745e-07,-3.5651326427452977e-07,2.7186030081161133e-07,0.0019136212410709999,-0.0001587194576137521,3.2337574274011727e-06
hcp FeNi Peak Shape,-0.0011101271528505237,-0.0003169231700060563,-0.0019696495663118706,0.00027417289199165636,4.562321325106595e-06,-1.915394077062919e-06,9.935928793176377e-06,-9.725193561068332e-07,1.2064990068948284e-08,-2.338723185578826e-08,6.209831879564614e-09,0.0045302991758874546,-0.0003617174571552067,7.082401222425978e-06
extrapeak Peak Shape,-0.0005201429791518762,0.0001002879367792046,0.00022476430917024845,-0.005342373538791838,-1.5179569395778263e-07,1.2726212244305933e-05,-9.72519356106833e-07,2.8436173992411933e-05,-5.844833602181809e-08,2.0222556824676573e-07,2.2105080363835358e-07,0.0027898032682030097,-0.0002347802954518128,4.826413811163823e-06
hcp FeNi a,-4.407544148087846e-05,2.0177274558937568e-07,-9.265282624767608e-07,6.1015560618508726e-05,-1.6593282065760705e-08,1.1331800062816749e-07,1.2064990068948273e-08,-5.844833602181818e-08,4.051172366963605e-08,-1.3029064627772675e-07,1.1906087152839688e-08,1.606600620471841e-05,-1.4351020943236413e-06,3.1147172260669866e-08
hcp FeNi c,0.00014089355814153758,3.293815102184543e-07,-1.0641427413736917e-07,-0.00019852625224570995,6.545726629562642e-08,-3.5651326427452967e-07,-2.3387231855788307e-08,2.0222556824676573e-07,-1.3029064627772675e-07,7.517059351581222e-07,-3.847256850721779e-08,8.553910074828296e-05,-6.794727181218024e-06,1.34142890269307e-07
extrapeak a,-5.667371763850317e-05,4.4835023039610924e-07,-3.8257621530268265e-06,-9.870648989582698e-06,6.202171252292009e-08,2.7186030081161133e-07,6.2098318795646254e-09,2.2105080363835363e-07,1.1906087152839688e-08,-3.847256850721779e-08,3.9352880255851e-08,0.00011777067008565055,-9.154403446254926e-06,1.7581198239909845e-07
Background 0,-0.7778631811215798,0.3648261322879687,-0.6610013086685826,-0.3731213543074381,0.004425161564990947,0.0019136212410709999,0.004530299175887454,0.0027898032682030093,1.606600620471841e-05,8.553910074828296e-05,0.00011777067008565055,55.57863224061789,-4.3892634738902885,0.0859171566898859
Background 1,0.0612305107830315,-0.029097887940361715,0.05336200412936318,0.031905462551872446,-0.00035274824715082645,-0.00015871945761375213,-0.0003617174571552067,-0.0002347802954518128,-1.4351020943236418e-06,-6.794727181218024e-06,-9.154403446254926e-06,-4.3892634738902885,0.34703968120155404,-0.006800512549108031
Background 2,-0.0011871099879598394,0.0005741385815434956,-0.001053977745247613,-0.0006632873193959769,6.905556022765014e-06,3.2337574274011735e-06,7.082401222425978e-06,4.826413811163823e-06,3.114717226066988e-08,1.34142890269307e-07,1.7581198239909845e-07,0.08591715668988592,-0.006800512549108031,0.00013340328211022012
