,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2,Background 3
hcp FeNi Peak 0 Intensity,0.24437985745093685,-0.01666818192845535,0.3586593894026368,-0.0209669573354272,-0.0008968679063101284,0.0007257554995005655,-0.0021095560558535343,0.0003656080381362621,-2.8397734417017715e-06,1.4079248017404976e-05,-2.455925555497902e-05,21.607764265724203,-2.5319227806221996,0.09825383710901038,-0.001262521734045676
hcp FeNi Peak 1 Intensity,-0.01666818192845535,0.04124059048849364,-0.016528376430796108,0.007730330861570942,0.0001265299672824955,-0.00014874766044762898,0.0001588122147084014,-0.00010108173726833548,-5.317230951720467e-07,5.3216405307850355e-06,2.2850814314799048e-06,-8.711030581774505,1.0358432834979572,-0.04080408918787318,0.0005321861244035376
hcp FeNi Peak 2 Intensity,0.35865938940263686,-0.01652837643079611,0.6950716309020927,-0.04229222528824918,-0.0015594789695694007,0.0007530564463123204,-0.0037815583755324237,0.0004454281836912396,-3.5869826491897127e-06,1.619795839999898e-05,-4.5829278788345e-05,10.64597696828605,-1.2715752314251096,0.05027531081849067,-0.0006572127950498168
extrapeak Peak 0 Intensity,-0.020966957335427205,0.007730330861570941,-0.04229222528824918,0.6978061409510707,0.00022297202873638368,-0.0038869560178594327,0.000268348493686612,-0.006417819766415906,1.9676413930605198e-05,-0.00010292088367013443,1.0133827291117772e-05,-10.363928616474103,1.2207979441572647,-0.047561987254127254,0.0006130968846620788
hcp FeNi Peak Width,-0.0008968679063101284,0.0001265299672824955,-0.0015594789695694005,0.00022297202873638368,5.3093173365296255e-06,-3.4888451020964663e-06,8.991865868891028e-06,-2.370094244591789e-06,1.1241899184996019e-08,-4.369958318503249e-08,1.5548825845809747e-07,-0.07971863451094763,0.009452452878059172,-0.0003711685811225064,4.823119227556464e-06
extrapeak Peak Width,0.0007257554995005656,-0.000148747660447629,0.0007530564463123204,-0.0038869560178594323,-3.488845102096467e-06,4.010782296725009e-05,-5.262265836834472e-06,3.5654035836529797e-05,-2.0537499272902492e-07,1.076099837651776e-06,-1.433877988589713e-07,0.2889407449627279,-0.033806754309738486,0.001309270879616178,-1.6789322372077724e-05
hcp FeNi Peak Shape,-0.0021095560558535343,0.0001588122147084014,-0.0037815583755324237,0.0002683484936866121,8.991865868891028e-06,-5.262265836834472e-06,2.195030091983207e-05,-3.1464916537822938e-06,1.969886506305443e-08,-8.370921967870982e-08,2.6089627155218346e-07,-0.11734129843713331,0.013899362124310755,-0.0005452072105382651,7.076738771795628e-06
extrapeak Peak Shape,0.000365608038136262,-0.0001010817372683355,0.0004454281836912395,-0.006417819766415906,-2.370094244591789e-06,3.565403583652979e-05,-3.146491653782293e-06,6.669925031491115e-05,-1.8745368026315107e-07,9.825869491096316e-07,-1.0265247782117495e-07,0.1876221316598841,-0.02199125680900394,0.0008529145274428264,-1.09503263101884e-05
hcp FeNi a,-2.8397734417017715e-06,-5.317230951720466e-07,-3.5869826491897114e-06,1.9676413930605198e-05,1.1241899184996017e-08,-2.0537499272902492e-07,1.9698865063054426e-08,-1.8745368026315107e-07,3.3816383849368246e-08,-1.7790304723275779e-07,7.143250866479743e-09,-0.0008703737335098258,9.919580021031452e-05,-3.739160728269412e-06,4.665941619543998e-08
hcp FeNi c,1.4079248017404976e-05,5.3216405307850355e-06,1.6197958399998975e-05,-0.00010292088367013443,-4.369958318503249e-08,1.076099837651776e-06,-8.370921967870982e-08,9.825869491096316e-07,-1.779030472327578e-07,1.2791662728875724e-06,-3.7737058476093894e-08,0.003016409475180918,-0.00033000148839391305,1.186459150083549e-05,-1.4027518268906517e-07
extrapeak a,-2.455925555497902e-05,2.285081431479905e-06,-4.5829278788345e-05,1.0133827291117772e-05,1.5548825845809747e-07,-1.433877988589713e-07,2.6089627155218346e-07,-1.0265247782117493e-07,7.143250866479742e-09,-3.773705847609389e-08,2.480194424936945e-07,-0.003446679020577478,0.0003978037853808579,-1.5226108359918967e-05,1.931991528439749e-07
Background 0,21.607764265724207,-8.711030581774505,10.64597696828605,-10.363928616474103,-0.07971863451094763,0.28894074496272787,-0.11734129843713333,0.18762213165988412,-0.0008703737335098258,0.003016409475180918,-0.003446679020577478,13359.513596981516,-1559.7181800255937,60.35146920941635,-0.774011870082358
Background 1,-2.5319227806221996,1.0358432834979574,-1.2715752314251096,1.2207979441572647,0.009452452878059172,-0.033806754309738486,0.013899362124310755,-0.021991256809003944,9.919580021031453e-05,-0.00033000148839391305,0.0003978037853808579,-1559.7181800255937,182.1691392793812,-7.05159265871155,0.09047174736060737
Background 2,0.09825383710901038,-0.04080408918787318,0.05027531081849067,-0.047561987254127254,-0.00037116858112250646,0.0013092708796161778,-0.0005452072105382652,0.0008529145274428265,-3.7391607282694124e-06,1.186459150083549e-05,-1.5226108359918967e-05,60.35146920941635,-7.05159265871155,0.2730668863168832,-0.003504778423863358
Background 3,-0.001262521734045676,0.0005321861244035376,-0.0006572127950498168,0.0006130968846620788,4.823119227556464e-06,-1.6789322372077724e-05,7.076738771795628e-06,-1.09503263101884e-05,4.665941619543998e-08,-1.4027518268906517e-07,1.9319915284397487e-07,-0.774011870082358,0.09047174736060735,-0.003504778423863358,4.500028905621661e-05
