Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC,fLM T=0,dfLM T=0,KE T=0,dKE T=0,Cvib,dCvib,Svib,dSvib,Resilience,dResilience,TLM,dTLM,IF,dIF,highTIF,dhighTIF,Fvib,dFvib
Oct 2009,2009Oct_106GPa,Fe_Murphy_P7,0.9016,0.001,15.6937,0.1324,394.9651,5.2363,0.9486,0.0003,10.2744,0.1014,2.4206,0.0175,2.0534,0.0136,241.9376,2.8123,3284.8,38.18,3.2118,0.1537,3.3811,0.0448,41.057,0.5691
Oct 2009,2009Oct_121GPa,Fe_Murphy_P8,0.9089,0.0011,16.0089,0.1573,443.4817,6.7045,0.9509,0.0004,10.8449,0.1238,2.3643,0.0196,1.9349,0.0147,266.7999,3.6292,3622.4,49.27,3.5775,0.1825,3.7965,0.0574,45.9136,0.6978
Oct 2009,2009Oct_133GPa,Fe_Murphy_P9,0.9118,0.0014,16.1042,0.1985,457.9423,8.2019,0.9517,0.0005,11.0226,0.1553,2.3468,0.0249,1.8968,0.0185,275.1365,5.2085,3735.6,70.72,3.6882,0.2303,3.9203,0.0702,47.5907,0.8671
Oct 2009,2009Oct_30GPa,Fe_Murphy_P1,0.8591,0.0011,14.7616,0.1077,257.4708,3.8273,0.9369,0.0003,8.3001,0.0771,2.6023,0.0163,2.5863,0.0148,159.3065,1.4197,2162.9,19.28,2.1301,0.125,2.2041,0.0328,21.6183,0.439
Oct 2009,2009Oct_53GPa,Fe_Murphy_P3,0.8773,0.0018,15.0816,0.2198,303.7471,9.1845,0.9419,0.0006,9.0326,0.1676,2.5375,0.03,2.3672,0.0253,189.0573,3.1803,2566.9,43.18,2.5014,0.2551,2.6003,0.0786,29.0582,0.9824
Oct 2009,2009Oct_69GPa,Fe_Murphy_P4,0.8874,0.0015,15.3024,0.1772,336.7642,7.428,0.9444,0.0005,9.4872,0.1358,2.4955,0.0238,2.2483,0.0196,205.1707,3.0914,2785.6,41.97,2.7576,0.2056,2.8829,0.0636,33.7443,0.7869
Oct 2009,2009Oct_77GPa,Fe_Murphy_P5,0.8903,0.001,15.3606,0.1203,345.3052,4.6164,0.9452,0.0003,9.6088,0.09,2.484,0.0167,2.2163,0.0138,212.3462,2.1318,2883.1,28.94,2.8253,0.1396,2.956,0.0395,34.8746,0.5119
Oct 2009,2009Oct_90GPa,Fe_Murphy_P6,0.8972,0.0009,15.5351,0.1222,371.322,4.5682,0.9471,0.0003,9.9638,0.0918,2.4507,0.0166,2.1257,0.0132,230.6385,2.3377,3131.4,31.74,3.0278,0.1418,3.1787,0.0391,38.1752,0.5043
Aug 2010,2010Aug_151GPa,Fe_Murphy_P10,0.9175,0.0015,16.4025,0.2154,504.3961,10.2302,0.9536,0.0005,11.542,0.1755,2.2949,0.0247,1.797,0.0177,296.4906,6.1392,4025.5,83.35,4.0343,0.2499,4.3179,0.0876,52.0441,1.0019
Feb 2011,2011Feb_171GPa,Fe_Murphy_P11,0.9219,0.0019,16.644,0.2737,541.4143,13.0153,0.9553,0.0006,11.9769,0.224,2.2516,0.0308,1.7088,0.0216,317.5141,8.9853,4311.0,122.0,4.3145,0.3176,4.6348,0.1114,55.7163,1.2743
Mar 2015,2015Mar_Ambient,Fe_Ambient,0.7886,0.0012,14.1854,0.0848,174.8085,3.1154,0.9221,0.0003,6.7938,0.058,2.7219,0.0139,3.146,0.0149,98.5638,0.687,1338.2,9.33,1.4614,0.0984,1.4965,0.0267,3.7335,0.3945
