Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC
Oct 2009,2009Oct_106GPa,Fe_Murphy_P7,0.8991,0.0012,15.3764,0.1228,352.399,6.0517
Oct 2009,2009Oct_121GPa,Fe_Murphy_P8,0.9066,0.0013,15.6476,0.1455,398.3967,7.5311
Oct 2009,2009Oct_133GPa,Fe_Murphy_P9,0.9093,0.0016,15.7349,0.1819,410.3939,9.2427
Oct 2009,2009Oct_30GPa,Fe_Murphy_P1,0.8571,0.0018,14.5496,0.1093,235.075,4.9601
Oct 2009,2009Oct_53GPa,Fe_Murphy_P3,0.876,0.0027,14.8831,0.2178,286.86,10.9879
Oct 2009,2009Oct_69GPa,Fe_Murphy_P4,0.8859,0.002,15.0324,0.1723,313.11,8.7343
Oct 2009,2009Oct_77GPa,Fe_Murphy_P5,0.8883,0.0013,15.081,0.1145,315.2916,5.5326
Oct 2009,2009Oct_90GPa,Fe_Murphy_P6,0.8946,0.0012,15.1658,0.1139,326.1086,5.4638
Aug 2010,2010Aug_151GPa,Fe_Murphy_P10,0.9159,0.0017,15.9561,0.208,458.8488,11.6641
Feb 2011,2011Feb_171GPa,Fe_Murphy_P11,0.9202,0.0021,16.1896,0.2812,485.677,16.5028
Mar 2015,2015Mar_Ambient,Fe_Ambient,0.7881,0.0026,14.1518,0.1001,172.341,4.6152
