,P,dP,rho_nat,drho_nat,vD_nat,dvD_nat,vP_nat,dvP_nat,vS_nat,dvS_nat
0,104.1,2.66,11.14,0.03,5.02,0.04,9.09,0.03,4.47,0.03
1,17.96,0.06,9.05,0.01,3.88,0.05,6.64,0.04,3.46,0.05
2,22.79,0.17,9.22,0.01,3.97,0.03,6.85,0.03,3.55,0.03
3,40.74,1.23,9.76,0.03,4.28,0.01,7.5,0.01,3.82,0.01
4,47.92,0.6,9.95,0.02,4.4,0.04,7.74,0.02,3.92,0.03
5,62.96,0.78,10.31,0.02,4.56,0.03,8.14,0.02,4.06,0.02
6,75.34,0.43,10.58,0.01,4.64,0.02,8.41,0.01,4.13,0.02
7,83.46,0.78,10.75,0.02,4.71,0.04,8.59,0.03,4.2,0.03
