,P,dP,rho_nat,drho_nat,vD_nat,dvD_nat,vP_nat,dvP_nat,vS_nat,dvS_nat
0,0.0,0.0,7.85,0.01,3.3,0.02,5.51,0.04,2.95,0.02
1,3.78,0.05,8.07,0.01,3.34,0.02,5.74,0.02,2.98,0.02
2,8.08,0.03,8.26,0.01,3.49,0.01,6.06,0.02,3.12,0.01
3,1.68,0.04,7.97,0.01,3.31,0.02,5.61,0.03,2.96,0.02
4,4.52,0.05,8.11,0.01,3.42,0.02,5.83,0.02,3.06,0.02
