,P,dP,rho_nat,drho_nat,vD_nat,dvD_nat,vP_nat,dvP_nat,vS_nat,dvS_nat
0,0.0,0.0,7.58,0.01,3.23,0.01,5.63,0.09,2.89,0.01
1,7.08,0.07,7.89,0.01,3.28,0.03,6.0,0.03,2.92,0.03
2,6.48,0.11,7.87,0.01,3.26,0.03,5.96,0.03,2.9,0.03
