Fit results
,Deviator,norm,background
value,9.056E-02,-1.42800E+01, 5.99672E+00
error,0.000E+00, 2.05842E+00, 3.07810E-01

Correlation matrix
,norm,background
norm, 1.00000E+00,-9.85545E-01
background,-9.85545E-01, 1.00000E+00

Iteration history
Deviator,Quality,norm,,background,,
2.799E+01, 1.409E+01,-1.000E+01,  , 3.000E+00,  
1.577E+01, 1.076E+01,-8.900E+00, L, 3.400E+00,  
6.936E+00, 5.091E+00,-7.910E+00,  , 3.840E+00, L
2.833E+00, 2.862E+00,-7.019E+00, L, 4.136E+00,  
7.611E-01, 9.488E-01,-6.217E+00, L, 4.408E+00,  
3.182E-01, 3.030E-02,-5.578E+00,  , 4.600E+00,  
2.898E-01, 5.869E-02,-6.132E+00,  , 4.710E+00,  
4.236E-01,-2.706E-01,-6.845E+00, L, 5.035E+00,  
8.358E-01, 1.137E-01,-7.630E+00, L, 5.340E+00,  
7.286E-01, 3.196E-01,-8.493E+00, L, 5.454E+00,  
4.510E-01, 4.535E-01,-9.442E+00, L, 5.511E+00,  
1.570E-01, 4.984E-02,-1.049E+01, L, 5.488E+00,  
1.274E-01, 2.675E-02,-1.095E+01,  , 5.495E+00,  
1.059E-01, 1.500E-02,-1.215E+01, L, 5.689E+00,  
9.487E-02, 5.439E-03,-1.313E+01,  , 5.824E+00,  
9.116E-02, 8.573E-04,-1.385E+01,  , 5.932E+00,  
9.061E-02, 1.038E-04,-1.415E+01,  , 5.978E+00,  
9.056E-02, 1.542E-07,-1.428E+01,  , 5.997E+00,  
9.056E-02,,-1.428E+01,  , 5.997E+00,  
