Folder,Index,Resolution peak FWHM
2015Mar_Ambient,FeNiSi_Ambient,1.13
2013Nov_DAC14_P1,FeNiSi_DAC14_P1,1.01
2014Feb_DAC15_P1,FeNiSi_DAC15_P1,0.97
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,0.96
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,0.99
2015Mar_DAC13_P3,FeNiSi_DAC13_P3,1.1
2015Mar_DAC13_P4,FeNiSi_DAC13_P4,1.08
2015Mar_DAC13_P5,FeNiSi_DAC13_P5,1.09
2015Mar_DAC13_P6,FeNiSi_DAC13_P6,1.05
