Folder,Index,Resolution peak FWHM
2015Mar_Ambient,Fe_Ambient,1.17
2009Oct_30GPa,Fe_Murphy_P1,1.29
2009Oct_53GPa,Fe_Murphy_P3,1.29
2009Oct_69GPa,Fe_Murphy_P4,1.25
2009Oct_77GPa,Fe_Murphy_P5,1.26
2009Oct_90GPa,Fe_Murphy_P6,1.26
2009Oct_106GPa,Fe_Murphy_P7,1.25
2009Oct_121GPa,Fe_Murphy_P8,1.24
2009Oct_133GPa,Fe_Murphy_P9,1.28
2010Aug_151GPa,Fe_Murphy_P10,1.1
2011Feb_171GPa,Fe_Murphy_P11,1.07
