E,DOS,dDOS,Velocity,dVelocity
0.249067,0.00163986,0.00548178,5442.068354918314,6063.978078489297
0.498133,0.00642567,0.017878400000000003,5479.566389889672,5082.0068983371875
0.7472,0.014306899999999999,0.0304086,5498.761100741662,3895.7817466711504
0.996267,0.0257444,0.0383033,5476.608490046658,2716.089883287806
1.2453299999999998,0.040813999999999996,0.0398158,5450.153118284713,1772.288363774866
1.4944,0.0580766,0.038621800000000005,5471.8346879744195,1212.9543092376375
1.74347,0.07586230000000001,0.0359019,5547.403729563524,875.1101343311745
1.99253,0.0943657,0.03629280000000001,5638.37531195699,722.841743152403
2.2416,0.115124,0.039849199999999994,5707.845973414957,658.5820626346135
2.49067,0.137719,0.039305400000000004,5768.128981159298,548.7564964296532
2.7397299999999998,0.161044,0.0431422,5834.1705045642775,520.9838189288571
2.9888,0.190324,0.05777480000000001,5847.75058349186,591.7240269614036
3.23787,0.23240500000000003,0.0676189,5770.940185297061,559.699954473041
3.48693,0.283407,0.0717026,5675.194520780356,478.62293716394925
3.736,0.333355,0.0813276,5629.342990969222,457.8021716418308
3.98507,0.384785,0.0951322,5602.390563645672,461.7125399890928
4.23413,0.45485699999999996,0.11351800000000001,5517.046205615588,458.9709121688982
4.4832,0.545574,0.12628499999999998,5394.23228611433,416.21531509075965
4.73227,0.623325,0.13234100000000001,5349.299963831901,378.5901479130613
4.981330000000001,0.659746,0.145457,5431.587045990832,399.18672998709224
5.2304,0.6822630000000001,0.14494100000000001,5548.745243509202,392.94040926806065
5.47947,0.735686,0.153824,5581.4922828393,389.02262038497713
5.72853,0.817857,0.167546,5549.984790290292,379.00242634001455
5.9776,0.8900969999999999,0.192908,5550.868143891345,401.0197375514174
6.2266699999999995,0.9540639999999999,0.20978899999999998,5573.5707748071845,408.53595420057553
6.47573,1.06308,0.24275,5518.562466195068,420.05860094915573
6.7248,1.2337200000000001,0.270383,5385.21239620244,393.4207471159504
6.97387,1.39487,0.273742,5296.147970273033,346.4676138129945
7.22293,1.48294,0.282997,5311.981259430863,337.91739163578734
7.472,1.52034,0.326465,5388.4822710083445,385.70435860923834
7.72107,1.5456299999999998,0.350715,5477.368213189501,414.2967424295122
7.97014,1.555,0.33576999999999996,5583.278511763414,401.87669633511234
8.2192,1.54037,0.355971,5716.981740308491,440.39940026118916
8.46827,1.59446,0.377969,5765.195578677026,455.5608232541832
8.71734,1.84348,0.409517,5600.136807783343,414.68988483603613
8.9664,2.24333,0.48979300000000003,5344.861733402438,388.99823200666907
9.21547,2.5514200000000002,0.515989,5214.825710390244,351.5541102409571
9.46454,2.56501,0.511985,5298.9779206259645,352.57748939677816
9.7136,2.3889400000000003,0.519189,5520.865747208119,399.96251410785544
9.96267,2.33003,0.522384,5661.76860579216,423.12778211282586
10.2117,2.61369,0.594288,5539.485923168554,419.8586232943797
10.4608,3.10019,0.600248,5317.848399430712,343.22082891412396
10.7099,3.4131,0.643422,5231.538146209164,328.7550776290742
10.9589,3.39645,0.717684,5320.980788708832,374.7937597259957
11.208,3.2879300000000002,0.715593,5460.092715698929,396.1278378537406
11.4571,3.40602,0.759109,5475.908651445839,406.82193392606223
11.7061,3.76379,0.860268,5373.061546481575,409.3745169599193
11.9552,4.07065,0.921201,5308.503399134866,400.45487146555143
12.2043,4.1256,0.888655,5357.9871427460785,384.7156350270231
12.4533,4.1932,0.9115559999999999,5401.278422461175,391.40484513012126
12.7024,4.61768,0.964883,5299.945072371389,369.1604150733162
