,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNiSi Peak Width,extrapeak Peak Width,hcp FeNiSi Peak Shape,extrapeak Peak Shape,hcp FeNiSi a,hcp FeNiSi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNiSi Peak 0 Intensity,1.7000448828912207,2.3065918451075076,0.3888749669841902,-2.4207704772949477,0.1964109015563722,0.003459665895410281,0.10662988350040838,0.3377716457399469,0.006203255261140247,-0.03169839497782005,0.0001850140243561709,-10.713246960648119,0.6017377604242643,-0.009021396153667122
hcp FeNiSi Peak 1 Intensity,2.3065918451075076,8.104839645635646,1.3181570715759767,-7.828823787304312,0.29634016786530254,0.019648756997030285,0.17724410114847056,1.1437737817481972,0.017097671604721303,-0.07554547865586395,0.0003972083970032668,-130.02643446334375,10.348714110027421,-0.20807230091263415
hcp FeNiSi Peak 2 Intensity,0.3888749669841902,1.3181570715759767,0.5399218468882359,-0.45319866527025987,0.08685029319807322,0.00013405930081038895,0.06141605489952512,0.05874117124360219,0.0018835490245689358,-0.009628443395255135,5.4868043978035396e-05,-42.84910960135996,3.4335744007171622,-0.06943970509952736
extrapeak Peak 0 Intensity,-2.4207704772949477,-7.828823787304312,-0.45319866527026004,21.00333968694721,-0.19165352396616964,-0.07757825256638033,-0.10072618685555676,-3.226329809148406,-0.02671035330862893,0.10144889340188887,-0.00044697713889600254,-72.84862387928216,5.549825859460727,-0.10412055395367834
hcp FeNiSi Peak Width,0.1964109015563722,0.29634016786530254,0.08685029319807323,-0.19165352396616964,0.10567314583472713,-0.00020694618433063987,0.10587404890183989,0.023548165111634448,0.0005338516730101267,-0.00466227081205039,3.433710331797996e-05,5.481411027885329,-0.4500851300091144,0.008387513668440242
extrapeak Peak Width,0.003459665895410281,0.019648756997030288,0.00013405930081038928,-0.07757825256638033,-0.00020694618433063987,0.0004061756797741063,-0.0003342826753884347,0.012465985202050452,7.278716563851044e-05,-0.0002541939900908126,9.814478760694716e-07,0.19429446969691097,-0.01468127209847199,0.00027856523073726587
hcp FeNiSi Peak Shape,0.10662988350040838,0.17724410114847058,0.06141605489952512,-0.10072618685555669,0.10587404890183989,-0.0003342826753884347,0.11389490080056938,0.011040316682860337,0.0002371779595236762,-0.0033053638144430234,2.976606088743967e-05,7.823571140990754,-0.6222400124000945,0.01155904322296323
extrapeak Peak Shape,0.3377716457399469,1.1437737817481972,0.05874117124360219,-3.226329809148406,0.023548165111634448,0.012465985202050452,0.011040316682860337,0.4984795452341813,0.003950430438691126,-0.014854992355101635,6.46157191235766e-05,11.061451109905848,-0.8420220127126301,0.015827660654297113
hcp FeNiSi a,0.006203255261140247,0.017097671604721303,0.0018835490245689358,-0.026710353308628924,0.0005338516730101266,7.278716563851044e-05,0.0002371779595236762,0.003950430438691126,4.925209915235166e-05,-0.00019374052523871697,9.990710509799922e-07,-0.08110134619365546,0.006403508265649254,-0.0001307229281560258
hcp FeNiSi c,-0.03169839497782005,-0.07554547865586395,-0.009628443395255135,0.10144889340188885,-0.00466227081205039,-0.00025419399009081256,-0.0033053638144430234,-0.014854992355101636,-0.00019374052523871697,0.0011461694164854582,-4.535034784951161e-06,-0.29106634507206314,0.02591493082067755,-0.0005300246129259698
extrapeak a,0.0001850140243561709,0.0003972083970032668,5.4868043978035396e-05,-0.0004469771388960025,3.433710331797996e-05,9.814478760694716e-07,2.9766060887439665e-05,6.461571912357662e-05,9.990710509799922e-07,-4.53503478495116e-06,8.320289815085578e-08,-0.004116936064232099,0.0003073343179171522,-6.003687484050064e-06
Background 0,-10.713246960648119,-130.02643446334378,-42.84910960135997,-72.84862387928217,5.481411027885329,0.19429446969691097,7.823571140990754,11.061451109905848,-0.08110134619365546,-0.29106634507206314,-0.004116936064232099,10287.276395015766,-818.0022736100996,16.206842321624265
Background 1,0.6017377604242643,10.348714110027423,3.433574400717163,5.549825859460729,-0.4500851300091145,-0.014681272098471991,-0.6222400124000946,-0.8420220127126301,0.006403508265649256,0.02591493082067755,0.0003073343179171522,-818.0022736100998,65.1495792642046,-1.292618835343169
Background 2,-0.009021396153667123,-0.20807230091263415,-0.06943970509952738,-0.10412055395367834,0.008387513668440242,0.0002785652307372658,0.01155904322296323,0.015827660654297113,-0.0001307229281560258,-0.0005300246129259698,-6.003687484050064e-06,16.206842321624265,-1.2926188353431687,0.025684370122619666
