Parameters,Values,Std
hcp FeNiSi Peak 0 Intensity,9.100440776966222,1.3038576927300083
hcp FeNiSi Peak 1 Intensity,6.820777444331373,2.8469000062586756
hcp FeNiSi Peak 2 Intensity,5.275617528499026,0.7347937444536636
extrapeak Peak 0 Intensity,7.991867581877197,4.5829400701893555
hcp FeNiSi Peak Width,0.894304619840458,0.3250740620762092
extrapeak Peak Width,0.27640414352157416,0.020153800628519333
hcp FeNiSi Peak Shape,0.4381748649819184,0.337483185952381
extrapeak Peak Shape,0.9999999236869022,0.7060308387274463
hcp FeNiSi a,2.390536497092405,0.007017983980628031
hcp FeNiSi c,3.428171584764322,0.03385512393250774
extrapeak a,2.9857964219220574,0.0002884491257585222
Background 0,3171.9241106081126,101.4262115777562
Background 1,-60.32651309104488,8.07152892977561
Background 2,0.07702619814024081,0.1602634397566072
