Folder,Index,Prob Amp,dmu,dvD,dvP,dvS,dvphi,mu,vD,vP,vS,vphi
2013Nov_DAC14_P1,FeNiSi_DAC14_P1,3.86,1.34,31.0,29.0,29.0,27.0,67.36,3256.0,5952.0,2898.0,4923.0
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,3.15,2.58,45.0,32.0,40.0,25.0,113.66,3972.0,6940.0,3544.0,5605.0
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,4.32,2.05,35.0,27.0,29.0,19.0,127.43,4158.0,7323.0,3696.0,5951.0
2014Feb_DAC15_P1,FeNiSi_DAC15_P1,3.72,1.36,32.0,28.0,29.0,26.0,66.05,3230.0,5910.0,2874.0,4890.0
2015Mar_Ambient,FeNiSi_Ambient,9.49,0.32,7.0,85.0,7.0,108.0,63.19,3208.0,5581.0,2864.0,4494.0
2015Mar_DAC13_P3,FeNiSi_DAC13_P3,3.19,3.46,54.0,36.0,48.0,18.0,138.84,4302.0,7527.0,3836.0,6086.0
2015Mar_DAC13_P4,FeNiSi_DAC13_P4,4.63,2.87,41.0,27.0,37.0,13.0,148.48,4373.0,7918.0,3894.0,6517.0
2015Mar_DAC13_P5,FeNiSi_DAC13_P5,3.7,4.24,56.0,35.0,52.0,10.0,165.42,4546.0,8330.0,4047.0,6896.0
2015Mar_DAC13_P6,FeNiSi_DAC13_P6,5.32,3.46,43.0,28.0,39.0,16.0,181.06,4683.0,8738.0,4165.0,7295.0
