,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,hcp FeNiSi Peak Width,hcp FeNiSi Peak Shape,hcp FeNiSi a,hcp FeNiSi c,Background 0,Background 1,Background 2
hcp FeNiSi Peak 0 Intensity,1.504489330795853,-0.05594842489044093,1.1364393773040633,-0.004085095934530516,-0.00878632037060481,4.602244822582973e-06,-4.5738519937137345e-05,-3.0413017267873377,0.24400141136226788,-0.0047816369535811434
hcp FeNiSi Peak 1 Intensity,-0.05594842489044093,0.1511634035860271,-0.03126007086865274,0.0004309432082168375,0.0004608302802032292,-4.898155595180116e-06,5.0318452932085556e-05,3.2418427211915284,-0.25797110965338277,0.005060793397794509
hcp FeNiSi Peak 2 Intensity,1.136439377304063,-0.03126007086865274,1.0567162696877181,-0.003334750475576477,-0.0072225494944400444,-3.5667959030046893e-07,-1.8589669833462732e-05,-0.9919990060370041,0.08907370466617195,-0.001895748812332111
hcp FeNiSi Peak Width,-0.004085095934530515,0.0004309432082168375,-0.0033347504755764767,1.788029176122775e-05,2.538881367393868e-05,-2.274646044108211e-08,3.175558118188089e-07,0.01892059682186822,-0.001543156925052364,3.073401455855419e-05
hcp FeNiSi Peak Shape,-0.00878632037060481,0.0004608302802032292,-0.0072225494944400444,2.538881367393868e-05,5.647421040305158e-05,-2.427696435212605e-08,3.433227294567044e-07,0.0212393358431747,-0.0017396866422459435,3.4713161332195044e-05
hcp FeNiSi a,4.602244822582973e-06,-4.898155595180116e-06,-3.5667959030046893e-07,-2.27464604410821e-08,-2.427696435212605e-08,6.974022746869123e-08,-3.8030537150817497e-07,-0.0005180712510761515,4.037035210383994e-05,-7.798690416456285e-07
hcp FeNiSi c,-4.5738519937137345e-05,5.031845293208556e-05,-1.8589669833462735e-05,3.175558118188089e-07,3.433227294567044e-07,-3.8030537150817497e-07,5.729462031957614e-06,0.005248828870390037,-0.00041612926801876587,8.175324919482294e-06
Background 0,-3.041301726787338,3.241842721191529,-0.9919990060370041,0.01892059682186822,0.021239335843174702,-0.0005180712510761515,0.005248828870390037,327.58809534943714,-25.838495248687877,0.5051053778706934
Background 1,0.24400141136226788,-0.25797110965338277,0.08907370466617198,-0.001543156925052364,-0.001739686642245944,4.037035210383994e-05,-0.00041612926801876587,-25.838495248687877,2.0404734979562633,-0.039933041973696556
Background 2,-0.0047816369535811434,0.005060793397794509,-0.001895748812332111,3.073401455855419e-05,3.471316133219505e-05,-7.798690416456286e-07,8.175324919482294e-06,0.5051053778706934,-0.039933041973696556,0.0007823520314277768
