Parameters,Values,Std
hcp FeNiSi Peak 0 Intensity,33.5310789822573,1.2265762637503845
hcp FeNiSi Peak 1 Intensity,5.214801224352059e-29,0.3887973811460503
hcp FeNiSi Peak 2 Intensity,27.71990469403499,1.0279670567132577
hcp FeNiSi Peak Width,0.20970866885782233,0.004228509401813805
hcp FeNiSi Peak Shape,0.03734390181793604,0.007514932494909823
hcp FeNiSi a,2.4311421371886484,0.0002640837508607662
hcp FeNiSi c,3.8781651751808286,0.0023936294683926363
Background 0,1643.7404061836955,18.099394889040823
Background 1,-36.89540763411026,1.428451433530823
Background 2,0.5086459341790585,0.02797055650908249
