2theta,Intensity,Model,Residual,Background,hcp FeNiSi
22.00479612,1076.934082,1078.213947636212,-1.27986563621198,1078.1564664590005,0.057481177211566245
22.01216174,1076.3438720000001,1078.1076104324957,-1.7637384324955292,1078.049618116412,0.057992316083660816
22.01952737,1076.789551,1078.001335370909,-1.2117843709088447,1077.9428248193547,0.05851055155432973
22.02689299,1076.709717,1077.8951228734388,-1.1854058734388673,1077.836086857806,0.05903601563275933
22.03425861,1076.625,1077.7889729323326,-1.1639729323326264,1077.7294040867403,0.05956884559242588
22.04162423,1075.749268,1077.6828856874138,-1.9336176874137436,1077.622776506157,0.0601091812567598
22.04898985,1075.151367,1077.5768612818472,-2.42549428184725,1077.516204116056,0.060657165791069265
22.05635548,1075.338745,1077.4708997184202,-2.1321547184202245,1077.4096867718615,0.06121294655878582
22.0637211,1075.858765,1077.3650014349935,-1.506236434993525,1077.3032247628012,0.06177667219226774
22.07108672,1075.706055,1077.2591664414458,-1.553111441445708,1077.196817944223,0.06234849722283393
22.07845234,1075.229126,1077.1533948953079,-1.9242688953079323,1077.090466316128,0.06292857917985192
22.08581797,1074.534546,1077.0476868144933,-2.5131408144932266,1076.9841697342383,0.06351708025492785
22.09318359,1073.59729,1076.9420426513918,-3.3447526513919,1076.8779284871832,0.06411416420858926
22.10054921,1073.39978,1076.8364624318924,-3.43668243189245,1076.7717424306106,0.06472000128183275
22.10791483,1073.4311519999999,1076.730946329655,-3.2997943296550147,1076.665611564521,0.06533476513401232
22.11528045,1073.387695,1076.625494522676,-3.2377995226761414,1076.5595358889136,0.06595863376253357
22.12264608,1072.829346,1076.5201070503867,-3.6907610503867545,1076.453515259887,0.06659179049982462
22.1300117,1072.356934,1076.4147843860178,-4.05785038601789,1076.3475499653198,0.06723442069802622
22.13737732,1071.878052,1076.309526578262,-4.431474578261941,1076.2416398612352,0.06788671702688388
22.14474294,1071.830688,1076.2043338238273,-4.373645823827246,1076.1357849476333,0.06854887619398377
22.15210856,1071.3244630000002,1076.0992063244632,-4.774743324463088,1076.0299852245141,0.06922109994918436
22.15947419,1071.385498,1075.994144144525,-4.6086461445249824,1075.9242405483499,0.06990359617511525
22.16683981,1071.463989,1075.8891477816007,-4.425158781600658,1075.818551206271,0.07059657532967552
22.17420543,1072.181274,1075.7842173108486,-3.602943310848559,1075.7129170546743,0.07130025617420857
22.18157105,1072.437866,1075.6793529558176,-3.2414869558176633,1075.6073380935607,0.07201486225700693
22.18893668,1072.666382,1075.5745548037098,-2.9081728037097037,1075.5018141797013,0.07274062400846952
22.1963023,1072.381836,1075.4698233746024,-3.087987374602335,1075.3963455996277,0.07347777497458614
22.20366792,1072.65686,1075.3651587679628,-2.7082987679627877,1075.2909322100365,0.07422655792618205
22.21103354,1072.6485599999999,1075.2605612320672,-2.612001232067314,1075.1855740109281,0.07498722113906992
22.21839916,1072.83728,1075.1560310218888,-2.318751021888829,1075.0802710023022,0.07576001958657122
22.22576479,1072.2146,1075.0515682575444,-2.836968257544413,1074.975023041306,0.07654521623831155
