Parameters,Values,Std
extrapeak Peak 0 Intensity,4.644221301023009,4.157939861975126
bcc FeNi Peak 0 Intensity,18.443285492457278,4.980114233740794
extrapeak Peak Width,0.15450716780055418,0.015259865384066078
bcc FeNi Peak Width,0.1195360837837389,0.002664730703675578
extrapeak Peak Shape,0.9999999999983672,1.0599338009765744
bcc FeNi Peak Shape,0.9999999999999999,0.30703961378518896
extrapeak a,2.9815870282490877,0.00021850455635636908
bcc FeNi a,2.868350904092586,3.6479955179272274e-05
Background 0,6254.141338685889,107.08969887610587
Background 1,-400.8898605864695,8.95017562965102
Background 2,7.758405048857606,0.18638487518478597
