,extrapeak Peak 0 Intensity,bcc FeNi Peak 0 Intensity,extrapeak Peak Width,bcc FeNi Peak Width,extrapeak Peak Shape,bcc FeNi Peak Shape,extrapeak a,bcc FeNi a,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,17.288463895801726,-0.9820238777549839,-0.05806727026581685,0.00046064000752317914,-4.40454379472092,0.05994676573559778,1.6612252217695684e-06,3.6122458050570654e-06,-73.46188367298691,6.278775307202524,-0.1330822953847643
bcc FeNi Peak 0 Intensity,-0.9820238777549825,24.801537781107662,0.0010585967199791628,-0.012216763615364246,0.23008675496268838,-1.5286417976779172,-2.182867098839318e-05,-1.9680707045769225e-07,-138.2880742697407,11.464486930050889,-0.2361802462231241
extrapeak Peak Width,-0.05806727026581685,0.0010585967199791607,0.00023286349153981816,7.255741370749702e-07,0.014976990176937892,-5.1981836307173994e-05,-1.0522104051008458e-08,-1.1631284383041904e-08,0.5060047059030519,-0.04291755629999281,0.0009040831270637971
bcc FeNi Peak Width,0.0004606400075231784,-0.012216763615364246,7.255741370749725e-07,7.100789723111341e-06,-9.815090768351143e-05,0.0007590481949049265,9.720407914611885e-09,3.7026150227858965e-10,0.1076671709533527,-0.00894236070765713,0.0001846372400797017
extrapeak Peak Shape,-4.40454379472092,0.23008675496268824,0.014976990176937896,-9.815090768351135e-05,1.1234596624526485,-0.013944048465335711,-4.606276676648198e-07,-9.13023766104945e-07,20.722793457490074,-1.7685133349729927,0.037439722656236206
bcc FeNi Peak Shape,0.05994676573559775,-1.5286417976779174,-5.1981836307173994e-05,0.0007590481949049266,-0.013944048465335724,0.09427332443335801,1.3315341135070295e-06,1.3900084436223497e-08,8.896152464902475,-0.7376837633058139,0.015201245727016964
extrapeak a,1.661225221769567e-06,-2.1828670988393186e-05,-1.0522104051008463e-08,9.720407914611889e-09,-4.6062766766482014e-07,1.3315341135070295e-06,4.7744241148493665e-08,1.1010330996231284e-11,-0.000540858136628521,4.428605792328297e-05,-9.042996648597118e-07
bcc FeNi a,3.6122458050570654e-06,-1.9680707045769225e-07,-1.1631284383041904e-08,3.702615022785897e-10,-9.130237661049447e-07,1.3900084436223504e-08,1.1010330996231284e-11,1.330787129881714e-09,5.6366916977767856e-05,-4.795552825582692e-06,1.0178263646503644e-07
Background 0,-73.4618836729869,-138.2880742697407,0.5060047059030519,0.10766717095335267,20.722793457490074,8.896152464902475,-0.000540858136628521,5.636691697776785e-05,11468.20360537503,-958.3266208035853,19.948110580990733
Background 1,6.278775307202523,11.464486930050889,-0.04291755629999281,-0.00894236070765713,-1.7685133349729927,-0.7376837633058139,4.428605792328296e-05,-4.795552825582692e-06,-958.3266208035853,80.10564380159906,-1.6679350176220837
Background 2,-0.13308229538476427,-0.2361802462231241,0.0009040831270637971,0.0001846372400797017,0.0374397226562362,0.015201245727016964,-9.042996648597118e-07,1.0178263646503641e-07,19.948110580990733,-1.6679350176220837,0.03473932169764825
