E,DOS
0.24905,0.00283333658731212
0.4981,0.011044501319686121
0.74715,0.023797277161666575
0.9962,0.0389422880971463
1.24525,0.051133564840601546
1.4943,0.05975465625927495
1.74335,0.07622948611520676
1.9924,0.10809214888549212
2.24145,0.1488375600412488
2.4905,0.20472004989841494
2.73955,0.28542863070294794
2.9886,0.3705095635358542
3.23765,0.42538315167093327
3.4867,0.49859196751273366
3.73575,0.6019358546159147
3.9848,0.6603407083496811
4.23385,0.6554614826908239
4.4829,0.6779069878123506
4.73195,0.8840913218501628
4.981,1.051580909023113
5.23005,0.9827112577640448
5.4791,0.8812347048072864
5.72815,1.0673135799144562
5.9772,1.3645268299469182
6.22625,1.5156045423121103
6.4753,1.6160541153923764
6.72435,1.7327273555212377
6.9734,1.7878516038411871
7.22245,1.88060730525421
7.4715,2.1206005346817074
7.72055,2.1670689021213287
7.9696,2.043893159001587
8.21865,2.279521274763397
8.4677,2.62364555581811
8.71675,2.784189844736114
8.9658,3.036428053472114
9.21485,3.2924685655403656
9.4639,3.0099064213056828
9.71295,2.6245215172632173
9.962,2.9715247610236615
10.2111,3.779400961569967
10.4601,3.928302809588761
10.7092,3.7596360629939967
10.9582,4.09143192015694
11.2073,4.497801852879377
11.4563,4.712713058689069
11.7054,4.994902310820998
11.9544,4.852961865918787
12.2035,4.314123479480563
12.4525,4.821250748186031
12.7016,6.21248982350819
12.9506,7.662230809530018
13.1997,8.106028844242742
13.4487,7.458892208239109
13.6978,7.466566519338321
13.9468,8.336125388706966
14.1959,8.841017003861738
14.4449,8.566681373062647
14.694,8.47860349824381
14.943,8.857730187728944
15.1921,9.246225320328321
15.4411,9.689857514221925
15.6902,10.376775465816795
15.9392,10.423536570514948
16.1883,10.473938151000274
16.4373,11.798769757890945
16.6864,11.651800229694082
16.9354,10.19034330104925
17.1845,10.298238762415858
17.4335,12.102685039571309
17.6826,13.692252147339294
17.9316,14.083115078752831
18.1807,14.74132590333223
18.4297,15.292665335551641
18.6788,15.043443474180958
18.9278,16.349409957819198
19.1769,18.50828485815778
19.4259,18.762779765801614
19.675,17.17421826872451
19.924,16.293178831472254
20.1731,18.324474343759864
20.4221,20.67356329993069
20.6712,22.063096445195132
20.9202,21.997975760525165
21.1693,20.651674433937732
21.4183,20.070975931606906
21.6674,21.15529921915238
21.9164,23.174908431723544
22.1655,24.249576849518107
22.4145,25.205233185446975
22.6636,30.441813024500572
22.9126,34.435551326478844
23.1617,34.16604424226639
23.4107,33.97653872357169
23.6598,34.776223190732026
23.9088,32.474922242870164
24.1579,30.102715594943977
24.4069,34.317069764378324
24.656,42.33467886359166
24.905,47.98741193518402
25.1541,48.57235581237429
25.4031,46.305174062431924
25.6522,45.363649923836796
25.9012,47.285985857553754
26.1503,50.893347321221604
26.3993,54.56893627665669
26.6484,60.17434918419101
26.8974,68.08039084948611
27.1465,70.75566550098321
27.3955,69.9880267180199
27.6446,72.92494702110231
27.8936,79.07385287181616
28.1427,83.72109011224498
28.3917,87.91295957132172
28.6408,90.135807067937
28.8898,94.985878083754
29.1389,99.98652080499632
29.3879,99.37194780908176
29.637,101.13659976167537
29.886,107.79228441534974
30.1351,111.76847057769758
30.3841,111.74634935975497
30.6332,113.35080335517254
30.8822,115.97679774077618
31.1313,112.76420039386139
31.3803,105.57794859026488
31.6294,110.18773590827213
31.8784,122.42106513916971
32.1275,123.92186852677686
32.3765,113.9728217624277
32.6256,103.61630343112368
32.8746,101.54338079881022
33.1237,101.52888358404651
33.3727,102.36171466670156
33.6218,104.53169478865586
33.8708,101.42392651759977
34.1199,96.80190291419267
34.3689,92.74460837047256
34.618,94.81032073507298
34.867,94.76076879002505
35.1161,91.29847065756974
35.3651,84.64454055218907
35.6142,72.49750804260051
35.8632,66.90197455628471
36.1123,68.7397286894886
36.3613,74.58331170844282
36.6104,75.91944692188308
36.8594,70.97816665928882
37.1085,66.2614561691914
37.3575,59.27771912567226
37.6066,61.1570802001012
37.8556,73.48310075810241
38.1047,78.195563581311
38.3537,72.1272682389328
38.6028,66.70308945518737
38.8518,73.97295383892177
39.1009,83.71470422049273
39.3499,80.44633879952707
39.599,74.45625698820703
39.848,78.23167330214754
40.0971,81.79472954007521
40.3461,79.33964352313029
40.5952,75.96620665262692
40.8442,80.56909002671281
41.0933,88.03814062659092
41.3423,88.71396176386192
41.5914,84.61382913234183
41.8404,76.64235316421444
42.0895,73.31754163114125
42.3385,77.03164638082113
42.5876,78.81713893648909
42.8366,70.47783052135549
43.0857,61.99124816037423
43.3347,59.885889586789546
43.5838,61.7092315205971
43.8328,67.95124434473264
44.0819,74.76816727082887
44.3309,74.3037419168458
44.58,68.12375552598373
44.829,65.27657973109734
45.0781,63.53722457019536
45.3271,68.77505609305709
45.5762,73.31948584444943
45.8252,70.47968673460306
46.0743,70.22093743545821
46.3233,79.80176880306207
46.5724,81.76899817921631
46.8214,73.12024608253509
47.0705,66.17501122415416
47.3195,68.8177458205133
47.5686,64.46040335221228
47.8176,47.552628719634825
48.0667,37.84516445314112
48.3157,38.222623101282196
48.5648,42.52277940299148
48.8138,50.36418267666767
49.0629,50.962149857340265
49.3119,42.21669341857385
49.561,39.80968415448189
49.81,45.65101779920018
50.0591,53.75201025841657
50.3081,55.415310834225174
50.5572,53.18180558985774
50.8062,57.38511219444209
51.0553,65.05440440136748
51.3043,73.9626538269796
51.5534,70.2438451037654
51.8024,59.71499859728223
52.0515,64.61732488688646
52.3005,75.16796595442003
52.5496,76.3275446955718
52.7986,70.90876958047502
53.0477,72.20190197522382
53.2967,84.21764729574214
53.5458,95.90605861972914
53.7948,108.88805363768965
54.0439,118.18200847664586
54.2929,116.06958656094383
54.542,121.0109204340804
54.791,130.31210187384653
55.0401,126.3292155198687
55.2891,116.97265050337963
55.5382,118.76955330671792
55.7872,124.50158810070234
56.0363,119.12566919652565
56.2853,105.03318890639743
56.5344,99.4380884286581
56.7834,99.2296779692818
57.0325,93.84710615391279
57.2815,88.49856507465486
57.5306,79.7150586450998
57.7796,63.15661367313802
58.0287,55.263714810166086
58.2777,57.108472587253004
58.5268,63.19094536502924
58.7758,61.27853283013904
59.0249,49.55955606977782
59.2739,31.6181403523248
59.523,17.912589761940183
59.772,12.40379565384141
60.0211,13.060383540748917
60.2701,16.46738796594925
60.5192,20.20519521610745
60.7682,20.41502288601568
61.0173,12.323128523152056
61.2663,-1.5190801491082793
61.5154,-10.775034839791502
61.7644,-6.890659692409623
62.0135,1.885616280857333
62.2625,4.387873071866157
62.5116,0.6127991693765311
62.7606,-1.507083898772436
63.0097,0.44446344265025545
63.2587,1.78311845224847
63.5078,-1.4906922237929343
63.7568,-0.6050438718332278
64.0059,0.42093788032426155
64.2549,-0.5042060338861712
64.504,0.23968248325922975
64.753,-0.6571995976540661
65.0021,-1.6916951878535227
65.2511,2.2020911507351086
65.5002,9.418240923353054
65.7492,9.703883944233565
65.9983,3.5560369273660304
66.2473,-1.0705996083253069
66.4964,0.37253755557749724
66.7454,-1.1503446437347984
66.9945,-2.1878902093790615
67.2435,4.655688301024937
67.4926,8.113928730323146
67.7416,7.125357495031676
67.9907,8.45223605938868
68.2397,7.997072958281382
68.4888,2.386564467076438
68.7378,-1.9491387580317268
68.9869,-0.027387578356486753
69.2359,0.21355400347372877
69.485,-4.524912354061402
69.734,-4.753739910826207
69.9831,-3.3911152391557065
70.2321,-2.0508416620144696
70.4812,-1.1984821747734205
70.7302,-3.7588403091300386
70.9793,-5.076042028941071
71.2283,-7.143288650472055
71.4774,-7.793484402119892
71.7264,-1.8306577696753261
71.9755,0.7295782279973388
72.2245,-4.794880596137681
72.4736,-5.51512093092489
72.7226,2.2256500638122163
72.9717,5.572821285264957
73.2207,-3.0407023863682463
73.4698,-9.718403901791117
73.7188,-5.620835172263633
73.9679,-1.4805665347480148
74.2169,-1.1471631473325146
74.466,1.7800546627005451
74.715,5.2399084572774415
74.9641,5.409181900141601
75.2131,2.0767292602946967
75.4622,2.9933611753422893
75.7112,4.749507842643559
75.9603,1.3548703661400563
76.2093,-4.65324076883284
76.4584,-11.18754387352374
76.7074,-8.896353160413199
76.9565,5.080783270611677
