E,DOS
0.249773,0.0018763900000000025
0.499546,0.007393810000000009
0.749318,0.01606090000000002
0.999091,0.027160500000000032
1.24886,0.03830710000000004
1.49864,0.04636170000000004
1.7484099999999998,0.05302380000000006
1.9981799999999998,0.0659778000000001
2.24796,0.08951120000000014
2.49773,0.11916800000000022
2.7475,0.1562550000000003
2.99727,0.2090170000000004
3.24705,0.2754780000000005
3.4968199999999996,0.3353550000000004
3.7465900000000003,0.3745160000000004
3.9963699999999998,0.4310180000000007
4.2461400000000005,0.5107950000000007
4.49591,0.5656690000000004
4.74568,0.5781630000000002
4.99546,0.5661370000000002
5.24523,0.630335000000002
5.495,0.8126160000000021
5.74477,0.9177510000000006
5.99455,0.8619689999999992
6.24432,0.76748
6.49409,0.8526440000000024
6.743869999999999,1.0880200000000029
6.993639999999999,1.2604900000000019
7.243410000000001,1.3445900000000017
7.493180000000001,1.4253900000000017
7.742960000000001,1.5126500000000018
7.99273,1.553890000000001
8.2425,1.6077500000000022
8.492280000000001,1.7761900000000037
8.74205,1.9128000000000012
8.99182,1.8275099999999989
9.241589999999999,1.7971200000000023
9.49137,2.0416400000000055
9.74114,2.2918800000000035
9.990910000000001,2.4117400000000027
10.2407,2.5795300000000063
10.4905,2.8267500000000054
10.7402,2.802149999999996
10.99,2.4386099999999935
11.2398,2.290930000000003
11.4895,2.6878500000000147
11.7393,3.301310000000012
11.9891,3.4354599999999995
12.2389,3.2698000000000005
12.4886,3.4221900000000076
12.7384,3.7662700000000076
12.9882,3.9990400000000057
13.238,4.156350000000006
13.4877,4.366990000000004
13.7375,4.220549999999993
13.9873,3.777439999999998
14.2371,3.988810000000019
14.4868,4.911260000000034
14.7366,6.072060000000036
14.9864,6.967090000000015
15.2361,6.964199999999989
15.4859,6.436659999999993
15.7357,6.492710000000017
15.9855,7.1496000000000235
16.2352,7.64779000000001
16.485,7.611329999999998
16.7348,7.314110000000003
16.9846,7.4966500000000105
17.2343,7.783160000000013
17.4841,8.080370000000013
17.7339,8.418600000000014
17.9836,8.94971000000002
18.2334,9.165870000000002
18.4832,8.916360000000008
18.733,9.610230000000032
18.9827,10.492100000000015
19.2325,9.882049999999971
19.4823,8.801699999999986
19.7321,8.917860000000028
19.9818,10.223900000000052
20.2316,11.62760000000005
20.4814,12.186500000000013
20.7311,12.398600000000027
20.9809,13.085200000000034
21.2307,13.2854
21.4805,13.107500000000012
21.7302,14.110500000000076
21.98,15.83610000000007
22.2298,16.4859
22.4796,15.663599999999953
22.7293,14.367499999999975
22.9791,14.45110000000006
23.2289,16.374100000000087
23.4786,18.06920000000007
23.7284,19.143900000000034
23.9782,19.28759999999999
24.228,18.38859999999996
24.4777,17.503899999999994
24.7275,17.71070000000004
24.9773,18.874500000000076
25.2271,20.41460000000006
25.4768,21.110400000000016
25.7266,21.6866000000001
25.9764,25.335600000000206
26.2261,29.251600000000128
26.4759,30.125199999999996
26.7257,29.440500000000007
26.9755,29.79560000000004
27.2252,30.19729999999999
27.475,28.2218999999999
27.7248,26.191100000000002
27.9746,28.448200000000202
28.2243,34.32330000000037
28.4741,39.767100000000255
28.7239,42.52550000000007
28.9736,41.83849999999995
29.2234,40.083999999999946
29.4732,39.479100000000045
29.723,40.82710000000014
29.9727,43.39570000000019
30.2225,46.36320000000017
30.4723,49.31630000000026
30.7221,54.946300000000385
30.9718,60.370600000000245
31.2216,61.53640000000001
31.4714,60.90840000000004
31.7211,62.775500000000235
31.9709,67.47910000000029
32.2207,71.28040000000021
32.4705,74.67530000000022
32.7202,77.38340000000014
32.97,78.98740000000015
33.2198,83.1662000000003
33.4696,86.95400000000015
33.7193,86.65510000000002
33.9691,86.93600000000016
34.2189,91.27570000000036
34.4686,96.00910000000025
34.7184,97.44460000000001
34.9682,97.29430000000006
35.218,98.84310000000022
35.4677,100.8940000000001
35.7175,99.21359999999979
35.9673,93.37299999999973
36.2171,92.18620000000033
36.4668,101.00300000000063
36.7166,108.3000000000002
36.9664,106.82799999999969
37.2162,98.60539999999953
37.4659,90.59889999999977
37.7157,88.33620000000003
37.9655,88.61770000000004
38.2152,88.1651000000001
38.465,90.24680000000016
38.7148,90.69429999999996
38.9646,87.58509999999981
39.2143,84.08639999999986
39.4641,80.80679999999997
39.7139,81.94930000000016
39.9637,83.22380000000003
40.2134,80.68869999999983
40.4632,77.99109999999966
40.713,70.93439999999926
40.9627,61.81309999999944
41.2125,58.205299999999944
41.4623,59.39630000000031
41.7121,63.76490000000043
41.9618,66.58060000000006
42.2116,64.09239999999969
42.4614,60.07809999999972
42.7112,56.345399999999586
42.9609,51.066099999999786
43.2107,53.24710000000064
43.4605,62.753600000000816
43.7102,68.00280000000015
43.96,65.61259999999955
44.2098,59.29819999999963
44.4596,59.09390000000043
44.7093,66.86660000000082
44.9591,73.18150000000017
45.2089,70.11439999999952
45.4587,65.00909999999988
45.7084,66.7268000000004
45.9582,70.68680000000022
46.208,70.59869999999987
46.4577,67.79749999999977
46.7075,66.21550000000016
46.9573,70.82040000000057
47.2071,76.49810000000032
47.4568,77.39019999999998
47.7066,75.21029999999968
47.9564,69.56119999999947
48.2062,64.4225999999998
48.4559,64.43900000000025
48.7057,67.84230000000028
48.9555,68.34109999999976
49.2052,61.795299999999344
49.455,54.80189999999961
49.7048,52.34749999999993
49.9546,52.483300000000156
50.2043,55.75010000000044
50.4541,61.22010000000052
50.7039,65.65300000000019
50.9537,64.39049999999968
51.2034,59.55499999999974
51.4532,57.34879999999984
51.703,55.17879999999998
51.9527,57.16720000000042
52.2025,62.30350000000038
52.4523,63.62729999999989
52.7021,60.77839999999983
52.9518,61.345300000000464
53.2016,68.81280000000064
53.4514,71.83029999999988
53.7012,66.55429999999942
53.9509,59.576099999999585
54.2007,57.5886000000002
54.4505,60.42180000000002
54.7002,54.22169999999905
54.95,41.020299999999004
55.1998,33.29029999999972
55.4496,32.82780000000014
55.6993,35.28440000000033
55.9491,40.32570000000056
56.1989,45.59030000000021
56.4487,42.639299999999295
56.6984,35.89369999999948
56.9482,34.66770000000024
57.198,38.9090000000007
57.4477,45.23730000000071
57.6975,48.828300000000034
57.9473,46.69159999999978
58.1971,47.00920000000033
58.4468,51.43150000000064
58.6966,57.59990000000087
58.9464,64.33950000000043
59.1962,62.39939999999918
59.4459,53.41979999999928
59.6957,52.86110000000065
59.9455,61.38330000000099
60.1953,66.83400000000027
60.445,65.54929999999959
60.6948,61.36579999999972
60.9446,62.6704000000007
61.1943,71.51720000000121
61.4441,80.97210000000095
61.6939,89.33240000000123
61.9437,100.34000000000098
62.1934,102.66999999999987
62.4432,100.97900000000013
62.693,106.08300000000095
62.9428,113.25400000000047
63.1925,111.36699999999932
63.4423,103.4849999999993
63.6921,101.41000000000032
63.9418,106.16100000000064
64.1916,108.2459999999998
64.4414,101.48899999999882
64.6912,90.73349999999908
64.9409,86.58049999999996
65.1907,86.68159999999995
65.4405,83.50909999999949
65.6903,78.6595999999996
65.94,74.88399999999935
66.1898,65.27679999999857
66.4396,52.827599999998945
66.6893,48.016599999999876
66.9391,49.330200000000474
67.1889,54.24100000000046
67.4387,54.946499999999695
67.6884,48.66619999999898
67.9382,37.065599999998454
68.188,23.214499999998644
68.4378,14.405299999999325
68.6875,10.73989999999985
68.9373,11.165100000000209
69.1871,13.59970000000033
69.4368,16.516500000000335
69.6866,18.438600000000033
69.9364,15.898199999999376
70.1862,7.69420999999883
70.4359,-2.975430000001114
70.6857,-9.41391000000022
70.9355,-6.786209999999326
71.1853,0.0262149000007308
71.435,4.046080000000101
71.6848,2.2732999999996415
71.9346,-0.5509990000002315
72.1843,-1.1869399999998973
72.4341,0.7056090000002471
72.6839,1.5537699999998467
72.9337,-1.0509800000002305
73.1834,-1.06391999999982
73.4332,0.5343240000000491
73.683,-0.2513810000000987
73.9328,-0.2682409999999284
74.1825,0.2421699999999808
74.4323,-0.7425200000001563
74.6821,-1.4833099999999466
74.9318,1.04654000000055
75.1816,6.824210000000588
75.4314,9.320929999999946
75.6812,6.209409999999447
75.9309,1.2049799999995119
76.1807,-1.036429999999964
76.4305,0.42223800000007716
76.6803,-0.8949420000002951
76.93,-2.3246499999998367
77.1798,2.1435900000006742
77.4296,6.747080000000241
77.6793,6.570839999999883
77.9291,6.3417600000000975
78.1789,7.601950000000095
78.4287,6.731549999999674
78.6784,2.378709999999436
78.9282,-1.4452400000002048
79.178,-0.90587499999974
79.4278,0.9778689999999899
79.6775,-1.5830000000004498
79.9273,-4.6638800000001215
80.1771,-3.821159999999764
80.4268,-2.9026399999998724
80.6766,-1.8958199999997707
80.9264,-0.9093330000000309
81.1762,-2.4400700000003877
81.4259,-4.259870000000138
81.6757,-4.722290000000242
81.9255,-6.939910000000283
82.1753,-6.243549999999424
82.425,-1.3723299999991847
82.6748,0.8130659999997703
82.9246,-3.1195900000007932
83.1744,-5.6153799999999
83.4241,-1.7085799999989018
83.6739,4.413030000000638
83.9237,3.6152699999990903
84.1734,-4.010850000001305
84.4232,-8.471000000000068
84.673,-5.4641699999991875
84.9228,-1.5999799999996798
85.1725,-1.298419999999967
85.4223,0.0705476000003987
85.6721,2.831480000000488
85.9219,4.995890000000179
86.1716,4.402999999999615
86.4214,1.7977999999997387
86.6712,2.2937100000003587
86.9209,4.222300000000075
87.1707,2.579829999999494
87.4205,-1.1265300000007854
87.6703,-6.375790000000941
87.92,-10.311500000000171
88.1698,-6.73450999999859
88.4196,4.263330000001984
