Parameters,Values,Std
hcp FeNiSi Peak 0 Intensity,15.102882359802235,0.49505057033593136
hcp FeNiSi Peak 1 Intensity,4.023197969903436,0.26380563837549764
hcp FeNiSi Peak 2 Intensity,34.20563849124809,0.8875072553268868
extrapeak Peak 0 Intensity,8.629481776906697,1.9741066851314444
hcp FeNiSi Peak Width,0.2311966138304803,0.003934238085484095
extrapeak Peak Width,0.056487516360705946,0.006857555459146135
hcp FeNiSi Peak Shape,0.0329612040549435,0.005975486112933636
extrapeak Peak Shape,1.2019524419421307e-15,0.008981081798309566
hcp FeNiSi a,2.4118376013843714,0.0003702373005110712
hcp FeNiSi c,3.846225329314644,0.0019301339915222984
extrapeak a,2.9852020130743013,0.0005818888894351816
Background 0,2946.7597817845012,16.392754405214742
Background 1,-167.98238744414584,1.3223466745889447
Background 2,3.185977608511257,0.02657009905334111
