Vj,Vk,xi(Vk/Vj),dxi(Vk/Vj),Vi,xi(Vj/Vi),dxi(Vj/Vi),Vk/Vi,xi(Vk/Vi),dxi(Vk/Vi)
19.901,19.901,1.0,0.0151,17.258,1.2635,0.0196,1.1531,1.2635,0.0274
19.901,19.305,0.9485,0.0178,17.258,1.2635,0.0196,1.1186,1.1984,0.0292
19.901,19.087,0.9095,0.0182,17.258,1.2635,0.0196,1.106,1.1492,0.0291
19.901,18.397,0.8735,0.0199,17.258,1.2635,0.0196,1.066,1.1037,0.0304
19.901,17.829,0.8445,0.0196,17.258,1.2635,0.0196,1.0331,1.067,0.0298
19.305,19.901,1.04,0.024,17.258,1.1955,0.0208,1.1531,1.2433,0.0359
19.305,19.305,1.0,0.0156,17.258,1.1955,0.0208,1.1186,1.1955,0.0279
19.305,19.087,0.9505,0.0192,17.258,1.1955,0.0208,1.106,1.1363,0.0303
19.305,18.397,0.92,0.0203,17.258,1.1955,0.0208,1.066,1.0999,0.0309
19.305,17.829,0.8865,0.0195,17.258,1.1955,0.0208,1.0331,1.0598,0.0297
19.087,19.901,1.0985,0.0176,17.258,1.158,0.0255,1.1531,1.2721,0.0346
19.087,19.305,1.0525,0.0185,17.258,1.158,0.0255,1.1186,1.2188,0.0343
19.087,19.087,1.0,0.0163,17.258,1.158,0.0255,1.106,1.158,0.0317
19.087,18.397,0.9615,0.0205,17.258,1.158,0.0255,1.066,1.1134,0.0341
19.087,17.829,0.9275,0.02,17.258,1.158,0.0255,1.0331,1.074,0.0331
18.397,19.901,1.1435,0.0195,17.258,1.0945,0.0221,1.1531,1.2516,0.0331
18.397,19.305,1.086,0.0184,17.258,1.0945,0.0221,1.1186,1.1886,0.0313
18.397,19.087,1.04,0.0195,17.258,1.0945,0.0221,1.106,1.1383,0.0314
18.397,18.397,1.0,0.0191,17.258,1.0945,0.0221,1.066,1.0945,0.0304
18.397,17.829,0.955,0.0215,17.258,1.0945,0.0221,1.0331,1.0452,0.0316
17.829,19.901,1.1915,0.0186,17.258,1.0625,0.0212,1.1531,1.266,0.0321
17.829,19.305,1.126,0.0189,17.258,1.0625,0.0212,1.1186,1.1964,0.0312
17.829,19.087,1.073,0.0209,17.258,1.0625,0.0212,1.106,1.1401,0.0318
17.829,18.397,1.045,0.0219,17.258,1.0625,0.0212,1.066,1.1103,0.0321
17.829,17.829,1.0,0.0189,17.258,1.0625,0.0212,1.0331,1.0625,0.0292
17.258,19.901,1.2635,0.0196,17.258,1.0,0.0284,1.1531,1.2635,0.0409
17.258,19.305,1.1955,0.0208,17.258,1.0,0.0284,1.1186,1.1955,0.0398
17.258,19.087,1.158,0.0255,17.258,1.0,0.0284,1.106,1.158,0.0416
17.258,18.397,1.0945,0.0221,17.258,1.0,0.0284,1.066,1.0945,0.0381
17.258,17.829,1.0625,0.0212,17.258,1.0,0.0284,1.0331,1.0625,0.0369
