,bcc Fe Peak 0 Intensity,bcc Fe Peak Width,bcc Fe Peak Shape,bcc Fe a,Background 0,Background 1,Background 2
bcc Fe Peak 0 Intensity,286.8628611889602,-0.001392898294949386,-0.007542551808494072,-2.5898282937710048e-06,-989.6710037653203,80.92936103301052,-1.6503428333563046
bcc Fe Peak Width,-0.001392898294949386,1.4487111399197766e-08,3.361308915174966e-08,1.5791054024929168e-11,0.007123513100345386,-0.0005824853097820988,1.1878536902667211e-05
bcc Fe Peak Shape,-0.007542551808494072,3.361308915174966e-08,2.1356449832111384e-07,6.932492582014112e-11,0.029135230499045484,-0.0023824980337237137,4.8584941835920575e-05
bcc Fe a,-2.5898282937710043e-06,1.5791054024929168e-11,6.932492582014112e-11,1.166104331281121e-10,7.051449564375767e-06,-6.031860244269351e-07,1.2836937580806105e-08
Background 0,-989.6710037653204,0.007123513100345387,0.02913523049904549,7.051449564375769e-06,42059.99525541621,-3433.242009883343,69.95701186847128
Background 1,80.92936103301052,-0.0005824853097820988,-0.0023824980337237137,-6.031860244269351e-07,-3433.2420098833427,280.3016704034307,-5.712648403961241
Background 2,-1.650342833356305,1.1878536902667211e-05,4.858494183592058e-05,1.2836937580806107e-08,69.95701186847128,-5.712648403961242,0.11644844001047853
