2theta,Intensity,Model,Residual,Background,bcc Fe
23.00413953,118.27287290000001,116.80851322752622,1.4643596724737904,116.56114058544699,0.24737264207922693
23.01151383,118.0429611,116.71466305839492,1.3282980416050805,116.4648948832928,0.24976817510211963
23.01888813,117.73283390000002,116.62095706188168,1.1118768381183344,116.36875838964988,0.25219867223179804
23.02626244,117.4998932,116.52739579491718,0.9724974050828195,116.27273097437353,0.2546648205436578
23.03363674,117.35283659999999,116.43398021175133,0.9188563882486562,116.17681289790175,0.2571673138495793
23.04101104,117.1976852,116.34071090320091,0.8569742967990805,116.0810040299416,0.2597068732593189
23.04838535,117.0078125,116.2475884786808,0.7602240213192033,115.98530424079217,0.2622842378886234
23.05575965,116.7770081,116.15461394468348,0.6223941553165275,115.88971379000304,0.2649001546804324
23.06313395,116.7164612,116.06178794764992,0.6546732523500793,115.79423254772496,0.2675553999249607
23.07050826,116.6250229,115.96911115428783,0.6559117457121744,115.69886038470258,0.2702507695852407
23.07788256,116.4873581,115.87658462827865,0.6107734717213447,115.60359755959587,0.27298706868277584
23.08525686,116.3816986,115.78420907683898,0.5974895231610304,115.50844394300066,0.2757651338383223
23.09263117,116.27921299999998,115.6919852293005,0.5872277706994851,115.4133994061051,0.2785858231954
23.10000547,116.18732450000002,115.59991421202778,0.5874102879722329,115.3184642066808,0.28145000534698517
23.10737977,115.9624176,115.50799679873236,0.45442080126763074,115.22363821576812,0.2843585829642499
23.11475408,115.894577,115.41623378729695,0.47834321270305225,115.12892130499938,0.28731248229756956
23.12212838,115.61575320000001,115.32462637287732,0.2911268271226959,115.03431373125784,0.29031264161947723
23.12950268,115.532074,115.2331754020419,0.29889859795810025,114.93981536602746,0.2933600360144343
23.13687699,115.4102554,115.14188174782136,0.2683736521786386,114.84542608138554,0.2964556664358254
23.14425129,115.4248199,115.05074668096562,0.3740732190343863,114.75114613332664,0.29960054763897054
23.15162559,115.3246078,114.95977112799048,0.36483667200951686,114.65697539377902,0.302795734211452
23.1589999,115.2864304,114.86895604442746,0.4174743555725371,114.56291373526392,0.30604230916354225
23.1663742,115.1039886,114.7783027842108,0.32568581578919975,114.46896141288721,0.30934137132357703
23.17374851,114.9251404,114.68781223911819,0.23732816088181607,114.37511817183929,0.3126940672788943
23.18112281,114.68254089999999,114.59748582319331,0.08505507680668245,114.28138426663395,0.3161015565593597
23.18849711,114.4855804,114.50732461423944,-0.02174421423943329,114.18775956994011,0.31956504429932325
23.19587142,114.3508835,114.41732972401645,-0.06644622401645961,114.09424395501901,0.32308576899743896
23.20324572,114.25955959999999,114.32750266444619,-0.06794306444619735,114.00083767549586,0.32666498895033197
23.21062002,114.11553959999999,114.23784461652161,-0.12230501652162218,113.90754060448455,0.33030401203706666
23.21799433,114.0027084,114.1483567986374,-0.1456483986373911,113.81435261569027,0.33400418294713186
23.22536863,114.0029831,114.05904083084523,-0.05605773084523946,113.7212739618501,0.337766868995134
23.23274293,114.03389740000001,113.9698980080265,0.06399939197351046,113.6283045165211,0.34159349150540685
23.24011724,114.0501938,113.88092966633549,0.16926413366451243,113.53544415385363,0.3454855124818641
