,extrapeak Peak 0 Intensity,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak Width,hcp FeNi Peak Width,extrapeak Peak Shape,hcp FeNi Peak Shape,extrapeak a,hcp FeNi a,hcp FeNi c,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,1.3192880644432552,0.002243826081870897,-0.028920196758744073,-0.0684568128362889,-0.003760122790886538,0.00013948633738939938,-0.010305244932448322,0.011847119316007812,-2.2846606526446646e-05,-1.1284554179682044e-05,1.8810896085368228e-05,-1.356895107757512,0.10959668338558548,-0.002180469261305901
hcp FeNi Peak 0 Intensity,0.0022438260818708933,0.04356313607985659,0.05817309376297423,0.15239610333542755,-2.8332503170328976e-05,-0.0014323362219343853,-6.11302216060591e-05,-0.030582194236076516,-3.8422238370126874e-07,4.3901136463443444e-07,-3.020549572674803e-06,-0.2435714760676109,0.019217763384264817,-0.00036736779817833414
hcp FeNi Peak 1 Intensity,-0.028920196758744077,0.058173093762974235,0.08287644524787637,0.21372397567137832,0.00010555632168422193,-0.0019868027806622295,0.00018773392989807107,-0.04276860648746142,2.544451224765864e-06,1.8317242248883586e-06,-6.223650610260246e-06,-0.13959995696080968,0.011202296240230924,-0.00021105388191009123
hcp FeNi Peak 2 Intensity,-0.0684568128362889,0.15239610333542755,0.21372397567137832,0.5615779164660373,0.00023918246806370805,-0.005306318087086074,0.00042141186407304256,-0.11252839265179837,7.366469899928855e-06,4.550743474481667e-06,-1.6144489395019623e-05,-0.7168120405573443,0.05759850893728154,-0.0011130022668722971
extrapeak Peak Width,-0.003760122790886538,-2.8332503170328976e-05,0.00010555632168422193,0.00023918246806370807,1.440540465021542e-05,-5.067174305159293e-07,2.9848651397851515e-05,-4.069842274922476e-05,1.0694619904357907e-07,8.296585336027853e-08,-1.2768283960357108e-07,0.006131659902687968,-0.0004964142981502785,9.898578605035231e-06
hcp FeNi Peak Width,0.00013948633738939938,-0.0014323362219343856,-0.0019868027806622295,-0.005306318087086074,-5.067174305159287e-07,6.426037200929393e-05,1.309917224293687e-07,0.0011062343046810488,-1.2567464810401e-07,-4.8557963349434425e-08,1.8962238790063322e-07,0.024447737875369874,-0.0019517255884749002,3.80775073037561e-05
extrapeak Peak Shape,-0.010305244932448322,-6.11302216060591e-05,0.00018773392989807107,0.00042141186407304267,2.9848651397851515e-05,1.3099172242936506e-07,8.248987309756239e-05,-6.854157501541811e-05,1.9157700956410113e-07,1.1126907114459834e-07,-1.7702079882917957e-07,0.012217847559512508,-0.0009898284028047306,1.9736016463410054e-05
hcp FeNi Peak Shape,0.011847119316007808,-0.030582194236076516,-0.04276860648746142,-0.11252839265179837,-4.0698422749224755e-05,0.0011062343046810488,-6.854157501541809e-05,0.022723597837835157,-1.6582218549229776e-06,-9.138481191519907e-07,3.3426118393627514e-06,0.21397154489329573,-0.017123873250743323,0.00033202723132235286
extrapeak a,-2.2846606526446646e-05,-3.8422238370126853e-07,2.544451224765864e-06,7.3664698999288545e-06,1.0694619904357907e-07,-1.2567464810401e-07,1.915770095641011e-07,-1.6582218549229776e-06,2.8414830742770274e-08,2.85644665135205e-09,-4.6457641227478994e-09,-8.493944456749876e-05,6.9840475387934105e-06,-1.400388063744465e-07
hcp FeNi a,-1.1284554179682046e-05,4.3901136463443444e-07,1.8317242248883586e-06,4.550743474481667e-06,8.296585336027853e-08,-4.855796334943443e-08,1.1126907114459834e-07,-9.138481191519907e-07,2.8564466513520492e-09,1.677298631467652e-08,-2.5310791352438945e-08,3.199813244773684e-05,-2.6932471099798198e-06,5.591852102745871e-08
hcp FeNi c,1.8810896085368228e-05,-3.020549572674803e-06,-6.223650610260246e-06,-1.6144489395019623e-05,-1.276828396035711e-07,1.8962238790063322e-07,-1.7702079882917957e-07,3.3426118393627514e-06,-4.6457641227478994e-09,-2.5310791352438945e-08,1.4948486149232055e-07,2.4682906304244745e-05,-2.1030776675940266e-06,4.305546152313656e-08
Background 0,-1.356895107757512,-0.2435714760676109,-0.13959995696080968,-0.7168120405573442,0.006131659902687968,0.02444773787536987,0.012217847559512508,0.21397154489329573,-8.493944456749876e-05,3.199813244773684e-05,2.4682906304244745e-05,84.68141560686517,-6.701224462083855,0.13117683703698071
Background 1,0.10959668338558548,0.019217763384264817,0.011202296240230924,0.05759850893728154,-0.0004964142981502785,-0.0019517255884749,-0.0009898284028047306,-0.017123873250743327,6.984047538793411e-06,-2.6932471099798206e-06,-2.1030776675940266e-06,-6.7012244620838555,0.5308137333630858,-0.01039994771190897
Background 2,-0.002180469261305901,-0.00036736779817833414,-0.00021105388191009123,-0.0011130022668722971,9.898578605035231e-06,3.80775073037561e-05,1.9736016463410054e-05,0.00033202723132235286,-1.400388063744465e-07,5.5918521027458706e-08,4.305546152313656e-08,0.13117683703698074,-0.01039994771190897,0.00020393519774132346
