Parameters,Values,Std
extrapeak Peak 0 Intensity,17.40126647614523,1.1486026573377128
hcp FeNi Peak 0 Intensity,1.9488714503780584,0.20871783843231173
hcp FeNi Peak 1 Intensity,2.654943448447223,0.2878826935539481
hcp FeNi Peak 2 Intensity,7.052342094499977,0.7493850255149467
extrapeak Peak Width,0.12036684188560672,0.0037954452505885813
hcp FeNi Peak Width,0.29808676350198515,0.008016256732995391
extrapeak Peak Shape,0.04225639393838138,0.009082393577552252
hcp FeNi Peak Shape,0.9999999999999999,0.15074348356673717
extrapeak a,2.96523575547541,0.00016856699185418915
hcp FeNi a,2.4535607887340634,0.00012951056449061026
hcp FeNi c,3.948634174357572,0.00038663272170410065
Background 0,53.40013098580804,9.20225057292319
Background 1,19.824663583063245,0.7285696489444821
Background 2,-0.3399801413904321,0.014280588144096988
