Parameters,Values,Std
hcp FeNiSi Peak 0 Intensity,6.187292532852974,0.5538675209415858
hcp FeNiSi Peak 1 Intensity,1.5710685546008146e-32,0.36662535690935427
hcp FeNiSi Peak 2 Intensity,13.312132377642834,1.3324249463625872
extrapeak Peak 0 Intensity,8.734909459333736,3.011947721636807
hcp FeNiSi Peak Width,0.6666520979046315,0.07441933726897937
extrapeak Peak Width,0.2503678845414616,0.014924614886104541
hcp FeNiSi Peak Shape,0.6549276388198879,0.1937778135079896
extrapeak Peak Shape,0.9999999999999999,0.4454558115110579
hcp FeNiSi a,2.3360689182865726,0.0013352110005976688
hcp FeNiSi c,3.6030022909775887,0.00801409695963993
extrapeak a,2.9843476691230983,0.0002014757237947426
Background 0,3454.1516858796335,62.43479853120011
Background 1,-76.37742375384884,4.884958305099343
Background 2,0.3233680095808403,0.09566949533383001
