,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNiSi Peak Width,extrapeak Peak Width,hcp FeNiSi Peak Shape,extrapeak Peak Shape,hcp FeNiSi a,hcp FeNiSi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNiSi Peak 0 Intensity,0.30676923075397794,-0.10150389617299249,0.5738853169415511,0.4383937750241421,-0.024727821667168415,-0.0013809334404638546,-0.08499919905641098,-0.06151636491446413,0.00012764930575108395,-6.93145780842864e-05,2.5581560551086347e-05,-11.424635420606812,0.8488748989768942,-0.015607243637783506
hcp FeNiSi Peak 1 Intensity,-0.10150389617299249,0.1344141523289114,-0.2341813558327504,-0.0761987477246244,0.007233711966716566,0.00016606033410156523,0.031134150999914248,0.010274003973551531,-6.715348871157339e-05,-0.0007144804731020133,-9.199266674014522e-06,2.298866027651976,-0.15211654745778178,0.0023615368787285635
hcp FeNiSi Peak 2 Intensity,0.5738853169415511,-0.2341813558327504,1.7753562376893435,0.08939200855699024,-0.05308327067301524,-0.0004552166467209359,-0.20831358064471042,-0.013157950797162527,0.0002607108163248572,-0.0009804209445661734,5.408921035307059e-05,-43.8078765148731,3.4599883946500216,-0.06789091785986437
extrapeak Peak 0 Intensity,0.4383937750241421,-0.0761987477246244,0.08939200855699024,9.07182907787315,0.01740514688743516,-0.03934408150877532,0.023466335586541414,-1.3381045850681614,0.0008488146007124178,-0.004445384240284285,6.49282229055577e-05,-54.4468352145876,4.069364580904376,-0.0760638336441586
hcp FeNiSi Peak Width,-0.024727821667168415,0.007233711966716564,-0.05308327067301524,0.01740514688743516,0.0055382377595541024,-6.250434811307309e-05,0.013250919775049084,-0.0025093689755234833,-5.305800910924837e-06,-4.783986591080519e-05,-1.1790301767143396e-06,-0.25190080657965785,0.02344356117109978,-0.0005715616780131229
extrapeak Peak Width,-0.0013809334404638546,0.00016606033410156523,-0.0004552166467209361,-0.03934408150877532,-6.250434811307306e-05,0.0002227441294985333,-7.779056324407227e-05,0.006014663199359657,-4.081842291205113e-06,2.113988615281911e-05,-1.3696803300036004e-07,0.0904347775571308,-0.007033039613095417,0.00013672279263203136
hcp FeNiSi Peak Shape,-0.08499919905641097,0.03113415099991424,-0.2083135806447104,0.023466335586541407,0.013250919775049084,-7.779056324407238e-05,0.03754984100793719,-0.003383707841870601,-2.6335722679863378e-05,-6.196967812499512e-05,-5.707377957286191e-06,1.8863437384817994,-0.14094231655359768,0.002530559017865605
extrapeak Peak Shape,-0.06151636491446413,0.01027400397355153,-0.013157950797162523,-1.3381045850681614,-0.0025093689755234833,0.006014663199359657,-0.003383707841870603,0.19843088000897516,-0.00012620203693808417,0.0006606456074425021,-8.778982459365292e-06,7.2542110490623575,-0.5436258130072622,0.010189234668929764
hcp FeNiSi a,0.00012764930575108395,-6.715348871157339e-05,0.0002607108163248572,0.0008488146007124177,-5.305800910924837e-06,-4.081842291205113e-06,-2.6335722679863375e-05,-0.00012620203693808417,1.7827884161170278e-06,-8.764761953355988e-06,3.5445358188060716e-08,-0.02246317080617791,0.0017189139679444267,-3.275466302148534e-05
hcp FeNiSi c,-6.931457808428629e-05,-0.0007144804731020132,-0.0009804209445661734,-0.004445384240284284,-4.783986591080519e-05,2.1139886152819105e-05,-6.196967812499512e-05,0.0006606456074425021,-8.76476195335599e-06,6.422575007850997e-05,-1.7395341315254998e-07,0.20547890311731917,-0.016239710953983445,0.0003206556971761099
extrapeak a,2.5581560551086347e-05,-9.199266674014522e-06,5.408921035307059e-05,6.492822290555769e-05,-1.1790301767143396e-06,-1.3696803300036e-07,-5.707377957286191e-06,-8.778982459365292e-06,3.544535818806071e-08,-1.7395341315254996e-07,4.059246727861541e-08,-0.0028883868218057105,0.00022095836359423092,-4.215785724087358e-06
Background 0,-11.424635420606812,2.298866027651976,-43.8078765148731,-54.446835214587594,-0.2519008065796579,0.09043477755713078,1.8863437384817991,7.2542110490623575,-0.022463170806177907,0.20547890311731917,-0.0028883868218057105,3898.1040676315474,-304.7031264142619,5.950454884115882
Background 1,0.8488748989768942,-0.1521165474577818,3.4599883946500216,4.069364580904376,0.023443561171099782,-0.007033039613095417,-0.14094231655359768,-0.5436258130072622,0.0017189139679444267,-0.016239710953983445,0.00022095836359423094,-304.70312641426193,23.86281764255905,-0.46689130479837854
Background 2,-0.015607243637783506,0.0023615368787285643,-0.06789091785986437,-0.0760638336441586,-0.000571561678013123,0.00013672279263203134,0.0025305590178656048,0.010189234668929764,-3.275466302148534e-05,0.0003206556971761099,-4.2157857240873586e-06,5.950454884115883,-0.46689130479837854,0.009152652337429722
