2theta,Intensity,Model,Residual,Background,bcc FeNiSi
24.00031924,537.8337402000001,538.2847261692925,-0.4509859692924465,537.4389106555082,0.8458155137843576
24.00759741,537.09021,537.8506230128104,-0.7604130128104316,536.9916965745906,0.8589264382197866
24.01487557,536.9898071,537.4178549436244,-0.4280478436244266,536.5455116781395,0.8723432654849689
24.02215374,536.2941284,536.9864303226929,-0.6923019226928773,536.1003547400633,0.8860755826295568
24.0294319,536.586731,536.5563602596085,0.030370740391504114,535.6562269836268,0.9001332759816818
24.03671007,535.9200438999999,536.1276538881704,-0.20760998817047494,535.2131271883945,0.9145266997758251
24.04398823,535.7332763999999,535.7003231121372,0.03295328786271057,534.7710565719763,0.9292665401608935
24.0512664,535.4083252,535.2743779126912,0.13394728730884253,534.3300139195862,0.9443639931049939
24.05854457,535.2191161999999,534.8498304838638,0.36928571613611894,533.8899998393217,0.9598306445421171
24.06582273,534.8206786999999,534.4266934843758,0.3939852156240704,533.4510149336356,0.9756785507402594
24.0731009,534.0801392,534.0049783252641,0.07516087473584321,533.0130579962151,0.991920329048996
24.08037906,533.1072998,533.5846992591282,-0.4773994591282644,532.5761302305445,1.0085690285836961
24.08765723,532.7486572,533.1658687706815,-0.41721157068150205,532.1402304359663,1.0256383347152356
24.0949354,532.5804443,532.7485016512437,-0.16805735124376042,531.705359213518,1.0431424377256646
24.10221356,531.796875,532.3326132863154,-0.5357382863154498,531.2715171585778,1.0610961277375888
24.10949173,530.8405762,531.9182179810875,-1.07764178108755,530.8387030789709,1.0795149021166228
24.11676989,530.2697143999999,531.5053329877779,-1.235618587778049,530.406918164047,1.0984148237308682
24.12404806,530.1381836,531.0939739852913,-0.9557903852912659,529.9761612272841,1.117812758007188
24.13132623,529.8980103,530.6841590920405,-0.7861487920405352,529.5464328626485,1.137726229392012
24.13860439,530.2335815,530.275907193347,-0.042325693347038396,529.1177336584542,1.158173534892907
24.14588256,529.5957031,529.8692363094311,-0.2735332094310934,528.6900624366617,1.1791738727694467
24.15316072,529.4902344,529.464167560232,0.026066839767963756,528.2634203724856,1.200747187746401
24.16043889,529.3040771000001,529.0607207420362,0.24335635796387578,527.8378062935362,1.2229144485000005
24.16771706,529.8945923,528.6589182783123,1.2356740216877142,527.4132207867124,1.2456974915999557
24.17499522,528.3477783,528.2587835925142,0.08899470748576732,526.9896644332666,1.2691191592475273
24.18227339,528.1730347,527.8603395249243,0.31269517507575983,526.5671360692886,1.2932034556355998
24.18955155,527.0020752,527.4636122348946,-0.4615370348946044,526.1456368558584,1.3179753790362485
24.19682972,527.0285644999999,527.0686268849594,-0.040062384959469455,525.7251656347216,1.343461250237772
24.20410789,526.0325316999999,526.6754115301044,-0.642879830104448,525.305722985714,1.3696885443903521
24.21138605,525.1230469,526.2839955438003,-1.1609486438003387,524.8873094830151,1.396686060785261
24.21866422,524.9088745,525.8944080926864,-0.9855335926863518,524.4699239768479,1.4244841158385315
24.22594238,524.4054565,525.5066819771796,-1.1012254771795824,524.0535676141662,1.4531143630134125
24.23322055,523.7815552000001,525.1208494374025,-1.3392942374024415,523.638239250844,1.4826101865585104
24.24049872,523.5750122,524.7369459827064,-1.1619337827064555,523.2239394596472,1.5130065230591296
24.24777688,523.1724853999999,524.3550088821979,-1.1825234821980075,522.8106688076969,1.5443400745011129
24.25505505,523.0467529,523.9750757100466,-0.9283228100465521,522.398426159345,1.576649550701495
24.26233321,522.7930298,523.5971881273413,-0.8041583273412698,521.9872126474111,1.609975479930182
24.26961138,523.3243408,523.2213878298385,0.10295297016148197,521.5770271418987,1.6443606879397898
24.27688955,523.6065674,522.8477203220231,0.7588470779769523,521.1678702085192,1.6798501135039514
24.28416771,523.8897705,522.4762334885434,1.4135370114566967,520.7597424073156,1.716491081227731
24.29144588,523.796875,522.1069762289633,1.6898987710367237,520.3526426167764,1.754333612186857
24.29872404,523.7568359,521.740002187115,2.0168337128850453,519.9465719555874,1.7934302315276542
24.30600221,523.0374756,521.3753658691733,1.662109730826728,519.5415293078922,1.8338365612810585
24.31328038,522.4616089,521.0131263708906,1.4484825291093557,519.1375152323235,1.8756111385671783
24.32055854,522.132019,520.6533460546716,1.4786729453284124,518.7345302818685,1.9188157728031412
24.32783671,521.6161499,520.2960893017759,1.3200605982241314,518.332573349142,1.9635159526338872
24.33511487,520.9478149,519.9414262015641,1.0063886984358987,517.9316455387016,2.009780662862558
24.34239304,520.1974487,519.5894288814939,0.6080198185061363,517.53174574882,2.0576831326739056
24.34967121,519.7088013,519.2401752040314,0.4686260959686024,517.132874531063,2.107300672968398
24.35694937,519.2625732,518.89374758712,0.3688256128800731,516.7350324313547,2.158715155765237
24.36422754,518.8215332,518.5502319169267,0.27130128307328505,516.3382183564436,2.212013560483075
24.3715057,518.4337158,518.2097212201104,0.22399457988956328,515.9424333967518,2.267287823358657
24.37878387,518.8256226,517.8723122682038,0.9533103317961604,515.5476764646801,2.3246358035236785
24.38606204,519.1862793,517.5381092744997,1.6481700255003489,515.1539481047394,2.384161169760317
24.3933402,519.1177978999999,517.2072229172918,1.9105749827081127,514.7612488557788,2.445974061512928
24.40061837,518.3165893999999,516.8797694809024,1.436819919097502,514.3695776386794,2.510191842223006
24.40789653,518.0045776000001,516.5558745534765,1.4487030465235193,513.9789355297335,2.576939023743035
24.4151747,518.039978,516.2356700020802,1.8043079979198637,513.5893214554781,2.6463485466021464
24.42245286,518.116272,515.9192981565991,2.196973843400883,513.2007364865494,2.718561670049612
24.42973103,517.2150879,515.6069089717029,1.608178928297093,512.8131795551353,2.7937294165675985
