,bcc FeNiSi Peak 0 Intensity,bcc FeNiSi Peak Width,bcc FeNiSi Peak Shape,bcc FeNiSi a,Background 0,Background 1,Background 2
bcc FeNiSi Peak 0 Intensity,5.739971980573299,-0.011871750606382302,-0.591218735257533,-2.140422309522689e-06,260.35986437277484,-20.83583326487218,0.4169085834402792
bcc FeNiSi Peak Width,-0.011871750606382302,3.2125928790444675e-05,0.0012597426414940693,2.3510021399568686e-09,0.12986295766309436,-0.010574226098475076,0.00021371310540485065
bcc FeNiSi Peak Shape,-0.591218735257533,0.0012597426414940693,0.061126641828831284,2.037224391579843e-07,-22.260977672244362,1.7803044138887283,-0.03560881176722027
bcc FeNiSi a,-2.140422309522689e-06,2.3510021399568686e-09,2.037224391579843e-07,4.991291847886433e-09,-0.0016907163483041393,0.00013327346005455825,-2.6240930229306197e-06
Background 0,260.35986437277484,0.12986295766309433,-22.260977672244366,-0.0016907163483041393,202884.69708516033,-16256.496536214016,325.3827542350545
Background 1,-20.835833264872175,-0.010574226098475076,1.7803044138887283,0.00013327346005455825,-16256.496536214016,1302.6526880704591,-26.07472833204045
Background 2,0.4169085834402792,0.0002137131054048506,-0.03560881176722028,-2.6240930229306193e-06,325.3827542350545,-26.074728332040447,0.5219563643888884
