Date,Folder,Index,chi2,Det balance,Det bal stat,E/T calib,E/T calib stat,Negativity of DOS,Neg DOS stat,Norm of DOS,Norm DOS stat,LM factor,fLM stat,KE,KE stat,MFC,MFC stat,Average,Avg stat
Aug 2011,2011Aug_Ambient,FeNi_Ambient,3.02,0.24,O,1.38,A,0.47,O,0.21,O,0.05,O,0.09,O,0.36,O,0.28,O
Apr 2012,2012Apr_DAC11_P1,FeNi_DAC11_P1,1.04,0.44,O,0.38,O,0.28,O,0.2,O,0.06,O,0.1,O,0.1,O,0.17,O
Apr 2012,2012Apr_DAC11_P2,FeNi_DAC11_P2,0.48,0.04,O,0.15,O,0.94,O,0.61,O,0.2,O,0.01,O,0.39,O,0.54,O
Apr 2012,2012Apr_DAC11_P3,FeNi_DAC11_P3,0.76,0.0,O,1.2,A,0.87,O,0.59,O,0.22,O,0.1,O,0.16,O,0.49,O
Apr 2012,2012Apr_DAC11_P4,FeNi_DAC11_P4,0.84,0.41,O,0.63,O,0.63,O,0.02,O,0.01,O,0.11,O,0.43,O,0.35,O
Apr 2012,2012Apr_DAC11_P5,FeNi_DAC11_P5,0.7,0.1,O,1.33,A,0.43,O,0.61,O,0.25,O,0.18,O,0.26,O,0.38,O
Apr 2012,2012Apr_DAC11_P6,FeNi_DAC11_P6,0.83,0.06,O,0.97,O,0.39,O,0.19,O,0.11,O,0.26,O,0.01,O,0.23,O
Apr 2012,2012Apr_DAC11_P7,FeNi_DAC11_P7,0.64,0.57,O,0.45,O,0.38,O,0.04,O,0.05,O,0.14,O,0.18,O,0.2,O
Apr 2012,2012Apr_DAC11_P8,FeNi_DAC11_P8,1.07,0.33,O,1.23,A,0.62,O,0.63,O,0.23,O,0.17,O,0.08,O,0.42,O
Apr 2012,2012Apr_DAC11_P9,FeNi_DAC11_P9,1.3,0.6,O,1.31,A,0.43,O,0.65,O,0.23,O,0.24,O,0.07,O,0.38,O
Oct 2012,2012Oct_DAC11_P14,FeNi_DAC11_P14,1.73,0.72,O,0.6,O,0.47,O,0.03,O,0.11,O,0.15,O,0.21,O,0.24,O
Feb 2013,2013Feb_DAC14_P1,FeNi_DAC14_P1,0.85,0.66,O,2.96,S,0.8,O,0.65,O,0.23,O,0.11,O,0.82,O,0.6,O
Feb 2013,2013Feb_DAC14_P2,FeNi_DAC14_P2,0.63,0.21,O,0.66,O,0.58,O,0.46,O,0.15,O,0.04,O,0.43,O,0.39,O
Mar 2015,2015Mar_Ambient,FeNi_Ambient,0.94,0.87,O,1.54,A,0.23,O,0.13,O,0.03,O,0.11,O,0.22,O,0.16,O
