Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC
Aug 2011,2011Aug_Ambient,FeNi_Ambient,0.7773,0.002,14.1157,0.0717,164.7495,2.9848
Apr 2012,2012Apr_DAC11_P1,FeNi_DAC11_P1,0.7839,0.0034,14.1289,0.1436,170.1401,7.6995
Apr 2012,2012Apr_DAC11_P2,FeNi_DAC11_P2,0.8012,0.0032,14.2902,0.1512,193.6803,8.7801
Apr 2012,2012Apr_DAC11_P3,FeNi_DAC11_P3,0.8255,0.0025,14.3864,0.1408,205.2921,7.9164
Apr 2012,2012Apr_DAC11_P4,FeNi_DAC11_P4,0.8322,0.0025,14.3884,0.1544,215.2972,8.9676
Apr 2012,2012Apr_DAC11_P5,FeNi_DAC11_P5,0.8559,0.0019,14.7408,0.1434,259.2479,8.823
Apr 2012,2012Apr_DAC11_P6,FeNi_DAC11_P6,0.8641,0.0022,14.7533,0.172,276.7896,10.214
Apr 2012,2012Apr_DAC11_P7,FeNi_DAC11_P7,0.875,0.0019,14.96,0.1695,307.8331,10.5
Apr 2012,2012Apr_DAC11_P8,FeNi_DAC11_P8,0.88,0.0018,15.1064,0.1678,312.0263,10.1105
Apr 2012,2012Apr_DAC11_P9,FeNi_DAC11_P9,0.884,0.0019,15.2804,0.174,341.156,10.1226
Oct 2012,2012Oct_DAC11_P14,FeNi_DAC11_P14,0.8987,0.0015,15.4492,0.1588,378.7855,9.167
Feb 2013,2013Feb_DAC14_P1,FeNi_DAC14_P1,0.7769,0.0033,14.1137,0.1594,152.7996,10.3447
Feb 2013,2013Feb_DAC14_P2,FeNi_DAC14_P2,0.7875,0.0034,14.1609,0.1563,175.589,9.4164
Mar 2015,2015Mar_Ambient,FeNi_Ambient,0.7752,0.0027,14.0936,0.0963,161.7845,4.5626
