Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC,IF,dIF,highTIF,dhighTIF
Aug 2011,2011Aug_Ambient,FeNi_Ambient,0.7774,0.002,14.1205,0.0718,165.4568,2.9976,1.3861,0.0833,1.4164,0.0257
Apr 2012,2012Apr_DAC11_P1,FeNi_DAC11_P1,0.784,0.0034,14.1344,0.1437,171.0868,7.7423,1.4022,0.1667,1.4646,0.0663
Apr 2012,2012Apr_DAC11_P2,FeNi_DAC11_P2,0.8013,0.0032,14.2981,0.1513,194.4881,8.8167,1.5922,0.1755,1.6649,0.0755
Apr 2012,2012Apr_DAC11_P3,FeNi_DAC11_P3,0.8255,0.0025,14.4166,0.1411,206.2626,7.9538,1.7297,0.1638,1.7657,0.0681
Apr 2012,2012Apr_DAC11_P4,FeNi_DAC11_P4,0.8322,0.0025,14.4265,0.1548,217.0121,9.039,1.7412,0.1797,1.8578,0.0774
Apr 2012,2012Apr_DAC11_P5,FeNi_DAC11_P5,0.8558,0.0019,14.8282,0.1443,259.7673,8.8406,2.2074,0.1674,2.2238,0.0757
Apr 2012,2012Apr_DAC11_P6,FeNi_DAC11_P6,0.8641,0.0022,14.8411,0.1731,278.8327,10.2894,2.2224,0.2008,2.387,0.0881
Apr 2012,2012Apr_DAC11_P7,FeNi_DAC11_P7,0.875,0.0019,15.0651,0.1706,309.9554,10.5723,2.4823,0.198,2.6534,0.0905
Apr 2012,2012Apr_DAC11_P8,FeNi_DAC11_P8,0.8802,0.0018,15.2205,0.1691,316.9015,10.2684,2.6627,0.1962,2.7129,0.0879
Apr 2012,2012Apr_DAC11_P9,FeNi_DAC11_P9,0.8843,0.0019,15.4285,0.1757,347.0955,10.2988,2.904,0.2038,2.9713,0.0882
Oct 2012,2012Oct_DAC11_P14,FeNi_DAC11_P14,0.8992,0.0015,15.6157,0.1605,391.499,9.4747,3.1213,0.1862,3.3515,0.0811
Feb 2013,2013Feb_DAC14_P1,FeNi_DAC14_P1,0.7768,0.0033,14.1199,0.1595,151.502,10.2568,1.3854,0.1851,1.2969,0.0878
Feb 2013,2013Feb_DAC14_P2,FeNi_DAC14_P2,0.7876,0.0034,14.1594,0.1563,176.9666,9.4903,1.4313,0.1813,1.5149,0.0812
Mar 2015,2015Mar_Ambient,FeNi_Ambient,0.7755,0.0027,14.1067,0.0964,164.0763,4.6272,1.3701,0.1118,1.4046,0.0396
