Folder,Index,Emin,Emax
2013Nov_DAC14_P1,FeNiSi_DAC14_P1,3,15.5
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,5,12
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,3,13
2014Feb_DAC15_P1,FeNiSi_DAC15_P1,4,12.25
2015Mar_Ambient,FeNiSi_Ambient,3.5,11.5
2015Mar_DAC13_P3,FeNiSi_DAC13_P3,3,13
2015Mar_DAC13_P4,FeNiSi_DAC13_P4,3.5,15.5
2015Mar_DAC13_P5,FeNiSi_DAC13_P5,4.5,13.25
2015Mar_DAC13_P6,FeNiSi_DAC13_P6,5,16.5
