Folder,Index,Emin start,Emin end,Step size,Emax start,Emax end
2013Nov_DAC14_P1,FeNiSi_DAC14_P1,0,19,0.25,0,19
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,0,20,0.25,0,20
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,0,22,0.25,0,22
2014Feb_DAC15_P1,FeNiSi_DAC15_P1,0,19,0.25,0,19
2015Mar_Ambient,FeNiSi_Ambient,0,18,0.25,0,18
2015Mar_DAC13_P3,FeNiSi_DAC13_P3,0,24,0.25,0,24
2015Mar_DAC13_P4,FeNiSi_DAC13_P4,0,25,0.25,0,25
2015Mar_DAC13_P5,FeNiSi_DAC13_P5,0,26,0.25,0,26
2015Mar_DAC13_P6,FeNiSi_DAC13_P6,0,28,0.25,0,28
