Emin,Emax,M,N,chi2,AICc,Prob,vD,dvD
0.0,0.75,1,3,2.261171126477266e-05,6.000022611711264,0.049786505485638566,5091.087300033497,7.633078626202088
0.0,1.0,1,4,0.0006907445804666762,4.000690744580467,0.1352885502504956,5034.513963198705,26.252642247732286
0.0,1.25,1,5,0.004293373975520395,3.3376267073088535,0.1884705809218206,4940.256986137101,41.927347601816514
0.0,1.5,1,6,0.010840975179443943,3.010840975179444,0.2219239579398568,4852.417034981886,46.69007137360395
0.0,1.75,1,7,0.014240990928430904,2.8142409909284307,0.24484730797954432,4798.842704793875,39.43722750303138
0.0,2.0,1,8,0.012376705375903824,2.67904337204257,0.2619709429817342,4791.988292702808,29.384485596966528
0.0,2.25,1,9,0.011260684340005888,2.582689255768577,0.27490089505569276,4800.217036721176,23.75890870473469
0.0,2.5,1,10,0.010707370155884606,2.5107073701558846,0.28497503897926857,4808.867950023814,20.227881562271705
0.0,2.75,1,11,0.01366938539764243,2.4581138298420866,0.2925683644743243,4827.568039531423,20.0953893820294
0.0,3.0,1,12,0.024371905362662375,2.4243719053626624,0.2975461462198258,4853.602876496137,24.377833871061636
0.0,3.25,1,13,0.03025463552036055,2.3938909991567243,0.3021156162580746,4872.014908882143,25.0942129224231
0.0,3.5,1,14,0.03129522063307601,2.3646285539664094,0.30656843272825074,4884.231704298379,23.338710104678924
0.0,3.75,1,15,0.044248075563575365,2.351940383255883,0.3085195113936832,4909.043672821267,25.33833198553129
0.0,4.0,1,16,0.06927467954563932,2.354988965259925,0.30804959611332056,4932.896810129743,30.186707053359374
0.0,4.25,1,17,0.0730823687897347,2.3397490354564012,0.3104058892579566,4943.597283185576,29.95083451171602
0.0,4.5,1,18,0.06892027745143232,2.3189202774514324,0.3136554656227132,4945.244954830672,27.66860550226164
0.0,4.75,1,19,0.06542579580751041,2.3007199134545693,0.3165228143544788,4947.963125281995,25.425033295504964
0.0,5.0,1,20,0.061998130394545534,2.2842203526167677,0.31914485884502347,4948.450027018583,23.740196898041198
0.0,5.25,1,21,0.06864835266435501,2.2791746684538285,0.31995102741541226,4935.563299500669,23.782113433332114
0.0,5.5,1,22,0.09880086014125802,2.298800860141258,0.31682667218882427,4910.072561919337,26.88015781948374
0.0,5.75,1,23,0.12019356775127438,2.3106697582274647,0.3149520483786181,4889.500972111648,28.101001723422605
0.0,6.0,1,24,0.12976466843055398,2.3115828502487354,0.3148082910957934,4875.631532886113,27.914192851356056
0.0,6.25,1,25,0.13355626739919615,2.307469310877457,0.3154564455694529,4865.497318354661,27.199950594780315
0.0,6.5,1,26,0.1362852006374362,2.302951867304103,0.31616977922366607,4856.5750182829015,26.479919398554436
0.0,6.75,1,27,0.13745056505826378,2.2974505650582637,0.3170406491625192,4849.876127358944,25.887352734912497
0.0,7.0,1,28,0.14166228212519436,2.2955084359713482,0.31734866562348363,4841.040161121583,25.42940252222685
0.0,7.25,1,29,0.14447694868341632,2.2926250968315642,0.3178065074868013,4832.819953194121,24.80368266888066
0.0,7.5,1,30,0.13995049523528394,2.282807638092427,0.3193703687696631,4831.12275223401,23.778783840511156
0.0,7.75,1,31,0.13869736180816847,2.276628396290927,0.32035862802317655,4835.505307239927,23.115830305344428
0.0,8.0,1,32,0.1387985333837378,2.272131866717071,0.3210796893103715,4840.589898614284,22.57059037810918
0.0,8.25,1,33,0.13660503407921323,2.265637292143729,0.3221240220099302,4836.797297005459,21.742598423083354
0.0,8.5,1,34,0.154482913317595,2.279482913317595,0.3199017195848024,4825.401968842536,22.51666642208029
0.0,8.75,1,35,0.17440832007317864,2.2956204412853,0.3173308937526616,4813.030218172517,23.24449315946836
0.0,9.0,1,36,0.18191730187872077,2.29956436070225,0.3167057466010047,4804.4726284381,23.08893028713945
0.0,9.25,1,37,0.196547137350809,2.3108328516365235,0.31492636612415387,4794.377418507008,23.40303855103083
0.0,9.5,1,38,0.2459810450849219,2.357092156196033,0.3077258228232113,4776.388743194379,25.419676753636043
0.0,9.75,1,39,0.294681796508179,2.402789904616287,0.3007743532605766,4759.021232364603,27.049876384115247
0.0,10.0,1,40,0.3096423010346063,2.414905458929343,0.2989578368349832,4748.672215270741,27.03844286904738
0.0,10.25,1,41,0.3060454233032949,2.4086095258673974,0.2999004289453199,4744.403076142559,26.247597552644404
0.0,10.5,1,42,0.29955738486639366,2.3995573848663936,0.30126087584672007,4742.6827705728865,25.537969389476245
0.0,10.75,1,43,0.29306416991179196,2.390625145521548,0.3026093519572965,4741.316115348177,24.852747712261447
0.0,11.0,1,44,0.2862554910834805,2.3814935863215756,0.3039941585183227,4741.465667738446,24.110296685334227
0.0,11.25,1,45,0.2800293466725238,2.3730526024864775,0.3052798746761677,4742.306968767856,23.506502690906796
0.0,11.5,1,46,0.27420953883501065,2.3651186297441016,0.3064933210496875,4741.305412790852,22.93266150134047
0.0,11.75,1,47,0.2698221223790527,2.3587110112679417,0.3074768418483163,4739.073710638528,22.336694034198494
0.0,12.0,1,48,0.26483913335578346,2.351795655094914,0.3085418379322467,4740.51659848082,21.776941452398287
0.0,12.25,1,49,0.2610700400603805,2.346176423039104,0.3094099409724253,4742.20414425207,21.41557748126418
0.0,12.5,1,50,0.2560051257618348,2.3393384590951682,0.3104696184594171,4741.483638272518,20.962309649887462
0.0,12.75,1,51,0.2541449092645021,2.3357775623257266,0.3110228859760816,4738.7571308992565,20.60665982231433
0.0,13.0,1,52,0.25207938726597956,2.3320793872659795,0.31159852655693954,4736.175552052045,20.245820584885237
0.0,13.25,1,53,0.251970804503146,2.3304021770521657,0.3118599442704093,4733.039852662635,19.99157613106937
0.0,13.5,1,54,0.2573004268874907,2.3342235038105676,0.3112646537764246,4728.190815794707,19.919752770998016
0.0,13.75,1,55,0.27115165804113,2.3466233561543377,0.30934080592299723,4720.927423618388,20.097937626308966
0.0,14.0,1,56,0.29556165136875806,2.369635725442832,0.30580187234750106,4712.216411382505,20.649253528380097
