,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNi Peak 0 Intensity,0.06005426130065412,-0.0013025391291764618,0.06918354217995926,-0.02816002284118237,-0.00020541265100980323,-1.450564483820929e-05,-0.0004979541013285954,0.0035545006570714224,1.6297816496570198e-05,-8.641210429900754e-05,1.1141883522132706e-05,-0.05073781046389253,0.0037193112935119035,-6.413140247449197e-05
hcp FeNi Peak 1 Intensity,-0.001302539129176462,0.009338295444317805,-0.002810750972403062,-0.006863316704808315,3.076607711700832e-05,6.400159677057328e-05,3.112905472204541e-05,0.001119396301807333,-3.644563976191204e-08,1.312136125068638e-06,-8.223412879636985e-08,0.17737990803165818,-0.013951885447447585,0.00026991066273948926
hcp FeNi Peak 2 Intensity,0.06918354217995926,-0.002810750972403062,0.12486992881110748,0.016270004079881523,-0.00038980238688257114,-0.00011283398851600872,-0.0008310446070488221,-0.0024801331917686967,-1.0698160729554665e-06,4.954436059973948e-06,6.577659912273113e-06,-0.16357020862001354,0.012842433153466837,-0.0002442856909866856
extrapeak Peak 0 Intensity,-0.02816002284118237,-0.006863316704808315,0.016270004079881523,0.6757101351632101,-8.563849293965175e-05,-0.004632805477178996,-0.00013341053781230905,-0.10505746921903118,-0.00010181858372539686,0.0005375738609591452,-2.228256736359995e-05,-0.01887348675808504,0.005768578025454478,-0.0001777853799409434
hcp FeNi Peak Width,-0.00020541265100980323,3.076607711700831e-05,-0.00038980238688257114,-8.563849293965175e-05,1.969007606667626e-06,2.7541193666080114e-07,2.6961062228403497e-06,1.0852304911398388e-05,3.9211038621803285e-08,-2.101976261204425e-07,-1.3627530482490594e-08,0.001274184441328688,-9.727755201022885e-05,1.803541102510789e-06
extrapeak Peak Width,-1.4505644838209259e-05,6.400159677057329e-05,-0.00011283398851600872,-0.004632805477178996,2.7541193666080104e-07,3.83039250509575e-05,1.0479493974244549e-06,0.0007403255774937669,4.924617550351785e-07,-2.5657545720723637e-06,7.226721740989965e-08,0.00046024945002713706,-7.788160693173743e-05,2.1733379114719816e-06
hcp FeNi Peak Shape,-0.0004979541013285954,3.11290547220454e-05,-0.0008310446070488221,-0.00013341053781230905,2.6961062228403497e-06,1.0479493974244549e-06,5.9866757656509455e-06,2.1090162312973425e-05,-1.247624249557459e-09,9.558328004671437e-09,-4.87625770632187e-08,0.0014572899114811237,-0.00011292394036049348,2.1182756222714817e-06
extrapeak Peak Shape,0.0035545006570714224,0.001119396301807333,-0.0024801331917686967,-0.10505746921903118,1.0852304911398388e-05,0.0007403255774937667,2.1090162312973425e-05,0.016419157666197316,1.4770237669522132e-05,-7.782094045392494e-05,3.1159034943285004e-06,0.004306057085121823,-0.0010566756614197419,3.165978177498202e-05
hcp FeNi a,1.6297816496570194e-05,-3.6445639761911974e-08,-1.0698160729554654e-06,-0.00010181858372539686,3.9211038621803285e-08,4.924617550351785e-07,-1.247624249557471e-09,1.4770237669522134e-05,4.342115449342839e-08,-2.3231523176019268e-07,9.634714188649494e-09,-6.507300782052363e-05,5.023035824473566e-06,-9.754416871977243e-08
hcp FeNi c,-8.641210429900755e-05,1.312136125068638e-06,4.954436059973945e-06,0.0005375738609591452,-2.1019762612044245e-07,-2.5657545720723633e-06,9.55832800467147e-09,-7.782094045392494e-05,-2.3231523176019263e-07,1.4308794736913565e-06,-5.1401165643770346e-08,0.0005369470444855819,-4.2171260687579975e-05,8.288724008399207e-07
extrapeak a,1.1141883522132706e-05,-8.223412879636978e-08,6.577659912273113e-06,-2.228256736359995e-05,-1.36275304824906e-08,7.226721740989965e-08,-4.87625770632187e-08,3.1159034943285013e-06,9.634714188649497e-09,-5.1401165643770346e-08,9.55242400455563e-09,-1.8020105338210882e-05,1.3314674248747812e-06,-2.435227563033616e-08
Background 0,-0.05073781046389253,0.17737990803165812,-0.16357020862001354,-0.01887348675808504,0.001274184441328688,0.00046024945002713706,0.0014572899114811237,0.004306057085121823,-6.507300782052361e-05,0.0005369470444855819,-1.802010533821088e-05,19.712576754636284,-1.5550181490995574,0.030401091086604524
Background 1,0.0037193112935119035,-0.013951885447447581,0.012842433153466837,0.005768578025454478,-9.727755201022884e-05,-7.788160693173742e-05,-0.00011292394036049348,-0.0010566756614197419,5.023035824473566e-06,-4.2171260687579975e-05,1.3314674248747812e-06,-1.5550181490995574,0.12288013206218105,-0.0024063248687303503
Background 2,-6.413140247449197e-05,0.0002699106627394892,-0.0002442856909866855,-0.0001777853799409434,1.803541102510789e-06,2.1733379114719816e-06,2.1182756222714817e-06,3.165978177498202e-05,-9.754416871977246e-08,8.288724008399207e-07,-2.4352275630336158e-08,0.030401091086604524,-0.0024063248687303503,4.719952357612891e-05
