Parameters,Values,Std
hcp FeNi Peak 0 Intensity,23.71493364000483,0.31895478855594844
hcp FeNi Peak 1 Intensity,4.4432968181102435e-15,0.16159282469840766
hcp FeNi Peak 2 Intensity,50.830171324186026,0.5946734367943891
extrapeak Peak 0 Intensity,12.426904769570346,0.7736041033653679
hcp FeNi Peak Width,0.16855702044095464,0.0010303327453894755
extrapeak Peak Width,0.10466692798511497,0.003299141761674393
hcp FeNi Peak Shape,0.020781251969140036,0.001760912228474747
extrapeak Peak Shape,0.0038406972402731305,0.00490255583624363
hcp FeNi a,2.341293030250994,0.00012089008868515731
hcp FeNi c,3.706901093335206,0.0007322198895602784
extrapeak a,2.959605405144501,0.0002667441116034893
Background 0,2143.4587860227975,69.00783591205192
Background 1,-216.84031979948824,8.057781813628742
Background 2,8.890049391692067,0.312078204002853
Background 3,-0.1163202281316534,0.004009161760925056
