Emin,Emax,M,N,chi2,AICc,Prob,vD,dvD
0.0,0.75,1,3,9.93223516305654e-05,6.00009932235163,0.04978459594490063,4712.5776094106695,15.059842966217799
0.0,1.0,1,4,0.00022057444552632747,4.000220574445526,0.1353203583071123,4735.284251299646,16.065054656453956
0.0,1.25,1,5,0.0008642484139233704,3.3341975817472562,0.18879400274942776,4774.903608406473,22.932584107876146
0.0,1.5,1,6,0.0025558096320799943,3.00255580963208,0.2228452031549084,4824.4142234012415,29.718111043824177
0.0,1.75,1,7,0.0033421303289414886,2.803342130328941,0.24618522845972268,4855.70089780299,26.554039704360626
0.0,2.0,1,8,0.0028657388318096394,2.6695324054984764,0.2632197083067912,4854.909069308978,19.01222912123483
0.0,2.25,1,9,0.004136067810809522,2.5755646392393805,0.2758819231108292,4830.8475228942325,18.381945221184367
0.0,2.5,1,10,0.008919097801732907,2.508919097801733,0.2852299594209945,4792.296249301684,21.15910828043307
0.0,2.75,1,11,0.011089442340897749,2.455533886785342,0.2929460128600633,4770.920359620293,19.77833609566918
0.0,3.0,1,12,0.010176282252094467,2.4101762822520945,0.29966558548704,4768.01764744574,16.64016841555047
0.0,3.25,1,13,0.009386925194710802,2.3730232888310745,0.30528434914348224,4770.157621729965,13.941131654696354
0.0,3.5,1,14,0.009687650031285112,2.3430209833646187,0.3098984884683344,4763.711289547422,13.050084978178548
0.0,3.75,1,15,0.009145545876772252,2.31683785356908,0.31398221751840266,4761.206801623555,11.551386162771815
0.0,4.0,1,16,0.012748982043837493,2.298463267758123,0.3168801558382679,4771.917167241448,12.761966530215002
0.0,4.25,1,17,0.023922251306219257,2.2905889179728858,0.3181302276927472,4787.994981716384,16.532333855603436
0.0,4.5,1,18,0.02804809899783495,2.278048098997835,0.3201313017109744,4797.690543315779,17.100470390750726
0.0,4.75,1,19,0.02655072135575122,2.2618448390028103,0.32273542163235375,4798.739751420826,15.815488886798539
0.0,5.0,1,20,0.026996042107946407,2.249218264330169,0.3247793883684204,4793.565261050083,15.28658579423276
0.0,5.25,1,21,0.027872844164128753,2.2383991599536026,0.32654106005091205,4788.0096139325715,14.898009181878054
0.0,5.5,1,22,0.02698793676288668,2.2269879367628866,0.3284095017420193,4790.422545653605,14.07088809881012
0.0,5.75,1,23,0.030179775081296642,2.220655965557487,0.3294508891352122,4796.768436708269,14.45349282346273
0.0,6.0,1,24,0.03385565254144793,2.2156738343596296,0.3302725959495434,4803.867303159047,14.814735270261886
0.0,6.25,1,25,0.032871171941821056,2.2067842154200816,0.33174386203811407,4801.791934855128,14.115662580080219
0.0,6.5,1,26,0.043984761687382204,2.2106514283540486,0.33110301972917844,4790.887131695858,15.804565958995296
0.0,6.75,1,27,0.05634825652263923,2.2163482565226396,0.33016124314602663,4779.05384453427,17.274367310708314
0.0,7.0,1,28,0.05659768398716558,2.2104438378333193,0.3311373884369424,4774.668405950098,16.806835131567997
0.0,7.25,1,29,0.054590842573343644,2.2027389907214916,0.33241553030355864,4774.33842182632,16.0566829387897
0.0,7.5,1,30,0.05428422421703309,2.1971413670741757,0.33334720199884244,4770.565096612863,15.474371237966992
0.0,7.75,1,31,0.054994287721329194,2.1929253222040876,0.33405064655727584,4766.331550378784,15.150847319480453
0.0,8.0,1,32,0.053245551017263935,2.186578884350597,0.3351123460029283,4766.730667965975,14.540383111464743
0.0,8.25,1,33,0.05483815362807381,2.18387041169259,0.3355664747455994,4770.699815769427,14.472600149048269
0.0,8.5,1,34,0.054530384175941485,2.1795303841759415,0.336295449268943,4773.332662446567,14.135799795744894
0.0,8.75,1,35,0.05531314391264935,2.1765252651247704,0.33680113301447795,4769.639443914158,13.906522213790813
0.0,9.0,1,36,0.06295881251681676,2.180605871340346,0.3361146571636286,4761.866776873401,14.43411896738595
