21.6,20.332,300,0.4,0.019,0
24.5,20.124,300,0.2,0.007,0
27.4,19.909,300,0.3,0.007,0
32,19.656,300,0.3,0.007,0
35.5,19.41,300,0.3,0.007,0
39.5,19.189,300,0.3,0.006,0
42.5,19.037,300,0.5,0.006,0
45.9,18.846,300,0.3,0.006,0
49.1,18.666,300,0.5,0.006,0
53.5,18.442,300,0.8,0.006,0
57.5,18.297,300,0.4,0.006,0
61.5,18.147,300,0.4,0.006,0
65.4,17.991,300,0.4,0.006,0
68.2,17.868,300,0.6,0.006,0
70.9,17.741,300,0.4,0.006,0
74.5,17.594,300,0.6,0.006,0
77.1,17.498,300,0.8,0.006,0
81.4,17.409,300,1.3,0.006,0
84.4,17.296,300,0.7,0.005,0
88.1,17.17,300,0.5,0.005,0
31.6,19.637,300,0.4,0.035,0
32,19.63,300,0.5,0.015,0
32.2,19.622,300,0.4,0.015,0
32.2,19.592,300,0.4,0.015,0
33.2,19.566,300,0.5,0.016,0
33.6,19.542,300,0.5,0.017,0
34.3,19.481,300,0.4,0.017,0
35,19.428,300,0.5,0.017,0
35.9,19.428,300,0.5,0.027,0
37.7,19.261,300,0.5,0.014,0
38.7,19.189,300,0.6,0.014,0
39.4,19.152,300,0.6,0.015,0
40.4,19.101,300,0.6,0.017,0
42.1,19.021,300,0.6,0.016,0
43.6,18.975,300,0.7,0.018,0
46.3,18.817,300,0.5,0.014,0
48,18.743,300,0.6,0.017,0
49.4,18.642,300,0.6,0.023,0
51.2,18.576,300,0.6,0.032,0
54.6,18.432,300,0.7,0.025,0
56.1,18.398,300,0.5,0.03,0
59.5,18.178,300,0.5,0.015,0
60.8,18.134,300,0.5,0.013,0
62.9,18.045,300,0.5,0.054,0
65.9,17.945,300,0.9,0.016,0
67.2,17.884,300,0.8,0.015,0
69.6,17.785,300,0.7,0.016,0
73,17.687,300,0.7,0.016,0
74.2,17.641,300,0.6,0.015,0
77.2,17.532,300,0.6,0.015,0
80.1,17.427,300,0.6,0.016,0
82.8,17.331,300,0.5,0.019,0
85.8,17.231,300,0.5,0.021,0
89.9,17.107,300,0.4,0.023,0
93.9,17.003,300,0.7,0.027,0
98.2,16.92,300,0.8,0.039,0
100.7,16.87,300,1,0.011,0
103.2,16.789,300,1,0.011,0
107.1,16.658,300,0.9,0.011,0
111.1,16.533,300,0.8,0.012,0
114.2,16.412,300,0.9,0.013,0
117.7,16.324,300,0.8,0.012,0
121.2,16.246,300,0.9,0.013,0
125.5,16.164,300,1,0.015,0
128.5,16.091,300,1.2,0.02,0
132.7,16.007,300,1.8,0.026,0
138.3,15.926,300,0.9,0.013,0
141.4,15.876,300,0.9,0.014,0
146,15.809,300,0.9,0.017,0
151.1,15.697,300,0.9,0.019,0
153.9,15.648,300,0.9,0.021,0
156.8,15.598,300,0.9,0.021,0
159.7,15.551,300,1,0.021,0
162,15.506,300,1,0.021,0
164.7,15.46,300,1.1,0.021,0
167.6,15.415,300,1.1,0.022,0
170.1,15.372,300,1.1,0.023,0
172.4,15.333,300,1.2,0.023,0
174.6,15.296,300,1.2,0.023,0
