,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNi Peak 0 Intensity,0.18600039904529683,0.001189564237762441,0.08477588655086442,-0.11190558335159896,-0.00015139010869903184,-0.00048230854440095376,-0.0003759580070614973,3.854955010784371e-06,0.00011130967429825166,-0.000585822817064316,4.074007732421474e-05,-0.08104231369227295,0.006760910612534956,-0.00013550837762605253
hcp FeNi Peak 1 Intensity,0.0011895642377624414,0.017924792129001752,0.0035975068392716044,-0.005181506878376789,1.6063497437767415e-05,3.0161111597013096e-05,-6.85560872918531e-06,6.824766387468556e-05,-1.2131387925246594e-06,8.28731749327932e-06,-3.1170508620041884e-07,0.28295327657609526,-0.02235553271470456,0.00043566167794702177
hcp FeNi Peak 2 Intensity,0.08477588655086442,0.0035975068392716035,0.20750480220521186,-0.009309718185990426,-0.0004351177091317249,0.00011506437941258663,-0.0008161562434548202,3.9765561882722766e-05,8.078808895447628e-06,-4.429282661397554e-05,4.591529861819685e-06,-0.2674549111466389,0.020937849217815215,-0.0004006660896099838
extrapeak Peak 0 Intensity,-0.11190558335159899,-0.005181506878376789,-0.009309718185990426,0.8351679784234394,-4.6562925119324556e-05,-0.0017558484029237481,5.292920075633308e-05,-0.007631205910167489,-0.00020014551300112578,0.0010493770580860349,-2.1169766342570074e-05,0.05205163870643897,-0.0020172301096407787,7.515339604717501e-06
hcp FeNi Peak Width,-0.00015139010869903182,1.6063497437767415e-05,-0.00043511770913172486,-4.656292511932455e-05,1.5751953840952967e-06,-2.5990380270364643e-07,1.6966039548622219e-06,1.5687333905801778e-07,3.050139765395681e-08,-1.5433796506844529e-07,-1.6824504079590062e-08,0.0015821461131380016,-0.0001224563076598159,2.3210201033716138e-06
extrapeak Peak Width,-0.00048230854440095355,3.016111159701309e-05,0.00011506437941258663,-0.0017558484029237481,-2.599038027036462e-07,9.470508700458269e-06,-4.3652983353713814e-07,2.1955723435459266e-05,-5.1433764629970855e-08,2.894725785206971e-07,-1.5705207915838538e-07,-0.00016507315553288706,-1.6230823853194931e-06,2.746923475350138e-07
hcp FeNi Peak Shape,-0.0003759580070614973,-6.855608729185308e-06,-0.0008161562434548202,5.292920075633308e-05,1.6966039548622217e-06,-4.3652983353713814e-07,3.5581779809291768e-06,-1.1339938440869829e-07,-5.54415423792048e-08,2.9872742787479023e-07,-1.7934557916643524e-08,0.001462842812171929,-0.00011360337503222715,2.1569045702461235e-06
extrapeak Peak Shape,3.854955010784565e-06,6.824766387468554e-05,3.976556188272282e-05,-0.007631205910167489,1.5687333905801756e-07,2.1955723435459266e-05,-1.1339938440869829e-07,7.88570434758746e-05,1.0613866979254822e-06,-5.535478008805233e-06,-6.13760298102743e-08,-0.0001482122674024269,-2.011906895065205e-05,8.998703449343745e-07
hcp FeNi a,0.00011130967429825166,-1.2131387925246594e-06,8.078808895447628e-06,-0.00020014551300112578,3.0501397653956817e-08,-5.143376462997095e-08,-5.54415423792048e-08,1.0613866979254822e-06,1.4079509975925558e-07,-7.414219072252002e-07,2.4171321394480613e-08,-0.00011361813239710964,9.487822981932273e-06,-1.9503679823445066e-07
hcp FeNi c,-0.000585822817064316,8.287317493279323e-06,-4.429282661397554e-05,0.0010493770580860349,-1.5433796506844529e-07,2.894725785206967e-07,2.987274278747903e-07,-5.535478008805233e-06,-7.414219072252003e-07,4.137750901546311e-06,-1.2716883885084662e-07,0.0008035388960834112,-6.654461927391597e-05,1.3589934475966842e-06
extrapeak a,4.074007732421474e-05,-3.117050862004189e-07,4.591529861819685e-06,-2.1169766342570067e-05,-1.6824504079590065e-08,-1.570520791583854e-07,-1.7934557916643527e-08,-6.13760298102743e-08,2.4171321394480613e-08,-1.2716883885084662e-07,2.0329364744051154e-08,-1.696297667443153e-05,1.4173060374648743e-06,-2.8682743043037887e-08
Background 0,-0.08104231369227295,0.28295327657609526,-0.2674549111466389,0.05205163870643896,0.0015821461131380016,-0.00016507315553288706,0.001462842812171929,-0.0001482122674024269,-0.00011361813239710963,0.0008035388960834112,-1.6962976674431527e-05,28.267282434674303,-2.22674905057457,0.04348729913924144
Background 1,0.006760910612534957,-0.022355532714704557,0.020937849217815215,-0.002017230109640778,-0.0001224563076598159,-1.6230823853194931e-06,-0.00011360337503222715,-2.011906895065205e-05,9.487822981932271e-06,-6.654461927391595e-05,1.4173060374648743e-06,-2.22674905057457,0.17564761113733027,-0.003434755768272621
Background 2,-0.00013550837762605253,0.00043566167794702177,-0.0004006660896099838,7.515339604717501e-06,2.3210201033716133e-06,2.746923475350138e-07,2.1569045702461235e-06,8.998703449343745e-07,-1.9503679823445066e-07,1.358993447596684e-06,-2.8682743043037887e-08,0.04348729913924144,-0.003434755768272621,6.72526746192191e-05
