Fit results
,Deviator,background
value,1.043E+00, 7.30806E+00
error,0.000E+00, 2.19135E-01

Iteration history
Deviator,Quality,background,,
5.393E+01, 9.840E+00, 3.000E+00,  
4.426E+01, 9.749E+00, 3.400E+00, L
3.504E+01, 9.536E+00, 3.840E+00, L
2.617E+01, 9.038E+00, 4.324E+00, L
1.763E+01, 8.033E+00, 4.856E+00, L
1.056E+01, 6.714E+00, 5.442E+00, L
4.946E+00, 4.726E+00, 6.086E+00, L
1.619E+00, 1.115E+00, 6.795E+00, L
1.073E+00, 5.738E-02, 7.204E+00,  
1.043E+00, 8.483E-05, 7.304E+00,  
1.043E+00,, 7.308E+00,  
