P,rho,vP,vS,T
0,,7.72,4.55,0
40.0,10.13,8.90,5.02,0
120.0,11.56,10.46,5.65,0
240.0,13.08,11.93,6.16,0
320.0,13.9,12.75,6.49,0
400.0,14.61,13.45,6.78,0
