rho,T,vP,dvP,vS,dvS
6.96944,1000,8320,83,4320,43
6.96944,2000,8290,83,4280,43
8.19934,1000,10740,107,5660,57
8.19934,2000,10580,106,5450,55
8.19934,3500,10420,104,5110,51
10.21174,5500,13530,135,6260,63
10.40215,1000,14340,143,7460,75
10.40215,2000,14080,141,7110,71
10.40215,3500,14360,144,7060,71
10.40215,5000,14120,141,6710,67
