P,T,rho,KS,mu,vP,vS
360,0,14.185,1590,655,13180,6800
360,2000,14.138,1622,554,12920,6260
360,4000,13.88,1566,423,12390,5520
360,5500,13.739,1546,341,12070,4980
360,6600,13.628,1560,284,11930,4570
360,7000,13.529,1489,250,11600,4290
360,7250,13.495,1488,198,11390,3820
360,7340,1.3482,1454,180,11210,3650
