P,rho,vP,vS,T
0,,7.20,3.79,0
40.0,,8.47,4.31,0
120.0,10.77,10.03,4.88,0
240.0,12.23,11.56,5.45,0
320.0,13.01,12.41,5.72,0
400.0,13.69,13.06,5.99,0
