P,T,rho,KS,mu,vP,vS
360,0,13.733,1596,597,13200,6600
360,2000,13.689,1617,508,12950,6090
360,4000,13.489,1569,387,12430,5350
360,5500,13.31,1550,319,12180,4890
360,6400,13.164,1527,232,11810,4200
360,6900,13.101,1531,202,11720,3930
360,7200,13.096,1526,195,11670,3850
360,7350,13.09,1514,193,11640,3840
