,bcc FeNi Peak 0 Intensity,bcc FeNi Peak Width,bcc FeNi Peak Shape,bcc FeNi a,Background 0,Background 1,Background 2
bcc FeNi Peak 0 Intensity,15918.950362885997,-0.03300842168050136,-0.14263888940502337,-5.3633966455021283e-05,-89031.16286202776,7302.098182248088,-149.3295952312817
bcc FeNi Peak Width,-0.03300842168050136,1.1763733906941754e-07,2.842020538792488e-07,2.2779739417322947e-10,0.3062830969080333,-0.025114523849048304,0.0005135362994460344
bcc FeNi Peak Shape,-0.14263888940502337,2.8420205387924884e-07,1.3521647501782375e-06,3.9909441123272913e-10,0.8999025957005765,-0.07380506603796164,0.0015093043092473109
bcc FeNi a,-5.363396645502129e-05,2.2779739417322947e-10,3.9909441123272913e-10,6.641650093556706e-10,-0.00025321251492838905,1.909937700216221e-05,-3.5793226186118737e-07
Background 0,-89031.16286202778,0.30628309690803335,0.8999025957005766,-0.00025321251492838905,6888562.756320332,-562659.7831624631,11471.94444288416
Background 1,7302.098182248088,-0.025114523849048304,-0.07380506603796164,1.909937700216221e-05,-562659.783162463,45967.25792986658,-937.3973922033334
Background 2,-149.3295952312817,0.0005135362994460344,0.001509304309247311,-3.5793226186118737e-07,11471.94444288416,-937.3973922033334,19.119735462869084
