2theta,Intensity,Model,Residual,Background,bcc FeNi
23.00290426,1489.1821289999998,1466.3327526847445,22.849376315255313,1463.9330019433,2.3997507414443726
23.01021155,1487.913208,1465.601562691286,22.311645308713878,1463.1764388232987,2.425123867987359
23.01751884,1485.539551,1464.8696761066337,20.66987489336634,1462.418774627402,2.450901479231873
23.02482613,1484.5234380000002,1464.1371015726816,20.38633642731861,1461.660009355608,2.477092217073538
23.03213342,1482.949341,1463.4038479633173,19.54549303668273,1460.9001430079152,2.5037049554021986
23.03944071,1481.907593,1462.6699243919397,19.237668608060176,1460.1391755843251,2.530748807614496
23.046748,1480.144165,1461.9353402192478,18.20882478075214,1459.377107084836,2.5582331344117595
23.05405529,1478.8632810000001,1461.2001050613455,17.663175938654604,1458.61393750945,2.586167551895663
23.06136258,1476.844482,1460.4642287981421,16.38025320185784,1457.8496668581674,2.614561939974699
23.06866987,1475.1838380000002,1459.7277215820802,15.45611641791993,1457.084295130985,2.6434264510951944
23.07597715,1473.482788,1458.9905948563942,14.492193143605846,1456.3178233775752,2.672771478818959
23.08328444,1472.689941,1458.2528573286404,14.437083671359687,1455.5502495001037,2.7026078285366917
23.09059173,1471.013672,1457.51452103307,13.499150966930074,1454.7815745467378,2.732946486332176
23.09789902,1469.98938,1456.775597306593,13.213782693406984,1454.0117985174702,2.763798789122821
23.10520631,1467.912476,1456.0360978077251,11.876378192274842,1453.2409214123081,2.795176395416961
23.1125136,1466.823364,1455.2960345275683,11.527329472431802,1452.468943231247,2.8270912963211505
23.11982089,1465.422607,1454.5554198012774,10.867187198722604,1451.695863974288,2.859555826989424
23.12712818,1464.557373,1453.8142663199656,10.743106680034543,1450.9216836414307,2.8925826785349424
23.13443547,1462.857056,1453.072587143101,9.784468856899139,1450.1464022326754,2.926184910425468
23.14174276,1461.1716310000002,1452.3303957114101,8.841235288590042,1449.3700197480248,2.9603759633852667
23.14905005,1459.3283689999998,1451.5877058603014,7.740663139698427,1448.5925361874743,2.9951696728272035
23.15635733,1457.608276,1450.844532851222,6.7637431487778485,1447.81395261727,3.0305802339520436
23.16366462,1456.02124,1450.1008893174271,5.920350682572916,1447.034266906432,3.0666224109950884
23.17097191,1455.2241210000002,1449.3567913813743,5.867329618625945,1446.2534801196953,3.10331126167889
23.1782792,1454.027466,1448.6122546030615,5.415211396938503,1445.4715922570613,3.1406623460003074
