,bcc FeNiSi Peak 0 Intensity,bcc FeNiSi Peak Width,bcc FeNiSi Peak Shape,bcc FeNiSi a,Background 0,Background 1,Background 2
bcc FeNiSi Peak 0 Intensity,1.7409614598978822,-0.006483940748841597,-0.3003582863609908,-1.5912873520797877e-06,42.18917347532929,-3.3793200345421286,0.06772692462246901
bcc FeNiSi Peak Width,-0.006483940748841597,3.09244817607224e-05,0.0011498622952068177,3.960329612492594e-09,0.0815890335727447,-0.006712368823146281,0.00013713870718615512
bcc FeNiSi Peak Shape,-0.3003582863609908,0.0011498622952068177,0.05200731425237616,2.5607303110649637e-07,-5.674334552182802,0.4534017308901149,-0.009070738706178798
bcc FeNiSi a,-1.5912873520797877e-06,3.960329612492594e-09,2.5607303110649637e-07,5.018526086790425e-09,-0.0018890806279045136,0.0001501043099423987,-2.97985267433878e-06
Background 0,42.1891734753293,0.0815890335727447,-5.674334552182803,-0.0018890806279045136,47297.47030324256,-3794.6715269448437,76.05177742240932
Background 1,-3.3793200345421286,-0.006712368823146281,0.4534017308901149,0.0001501043099423987,-3794.6715269448437,304.47416624521185,-6.102733890205916
Background 2,0.06772692462246901,0.00013713870718615512,-0.009070738706178798,-2.97985267433878e-06,76.0517774224093,-6.102733890205916,0.12233091049924255
