Fit results
,Chi^2,(11) zero-pressure volume (A^3),(12) bulk modulus (GPa),(13) pressure deriv. of bulk mod.
value,1.003E+00, 2.24248E+01, 1.62895E+02, 5.40270E+00
error,1.717E-01, 5.41733E-02, 4.49561E+00, 8.82941E-02

Correlation matrix
,(11) zero-pressure volume (A^3),(12) bulk modulus (GPa),(13) pressure deriv. of bulk mod.
(11) zero-pressure volume (A^3), 1.00000E+00,-9.79738E-01, 9.25356E-01
(12) bulk modulus (GPa),-9.79738E-01, 1.00000E+00,-9.80807E-01
(13) pressure deriv. of bulk mod., 9.25356E-01,-9.80807E-01, 1.00000E+00

Iteration history
Chi^2,Quality,(11) zero-pressure volume (A^3),,(12) bulk modulus (GPa),,(13) pressure deriv. of bulk mod.,,
1.023E+00, 4.588E-02, 2.243E+01,  , 1.634E+02,  , 5.380E+00,  
1.003E+00, 4.606E-04, 2.242E+01,  , 1.629E+02,  , 5.403E+00,  
  1.00,, 2.242E+01,  , 1.629E+02,  , 5.403E+00,  
