Vj,Vk,xi(Vk/Vj),dxi(Vk/Vj),Vi,xi(Vj/Vi),dxi(Vj/Vi),Vk/Vi,xi(Vk/Vi),dxi(Vk/Vi)
20.587,20.587,1.0,0.0131,18.066,1.2325,0.0176,1.1395,1.2325,0.0239
20.587,20.211,0.972,0.0196,18.066,1.2325,0.0176,1.1187,1.198,0.0296
20.587,19.088,0.8835,0.017,18.066,1.2325,0.0176,1.0566,1.0889,0.0261
20.587,18.724,0.85,0.0207,18.066,1.2325,0.0176,1.0364,1.0476,0.0296
20.587,17.604,0.785,0.0187,18.066,1.2325,0.0176,0.9744,0.9675,0.0269
20.587,17.332,0.7585,0.0217,18.066,1.2325,0.0176,0.9594,0.9349,0.0299
20.587,16.724,0.6935,0.0228,18.066,1.2325,0.0176,0.9257,0.8547,0.0306
20.211,20.587,1.015,0.0243,18.066,1.1995,0.0189,1.1395,1.2175,0.0349
20.211,20.211,1.0,0.0168,18.066,1.1995,0.0189,1.1187,1.1995,0.0276
20.211,19.088,0.9025,0.0173,18.066,1.1995,0.0189,1.0566,1.0825,0.0269
20.211,18.724,0.8755,0.0199,18.066,1.1995,0.0189,1.0364,1.0502,0.029
20.211,17.604,0.799,0.0185,18.066,1.1995,0.0189,0.9744,0.9584,0.0268
20.211,17.332,0.782,0.0204,18.066,1.1995,0.0189,0.9594,0.938,0.0286
20.211,16.724,0.7155,0.0209,18.066,1.1995,0.0189,0.9257,0.8582,0.0285
19.088,20.587,1.1255,0.0183,18.066,1.096,0.0173,1.1395,1.2335,0.028
19.088,20.211,1.1075,0.0183,18.066,1.096,0.0173,1.1187,1.2138,0.0277
19.088,19.088,1.0,0.0149,18.066,1.096,0.0173,1.0566,1.096,0.0238
19.088,18.724,0.9635,0.0206,18.066,1.096,0.0173,1.0364,1.056,0.0281
19.088,17.604,0.892,0.018,18.066,1.096,0.0173,0.9744,0.9776,0.025
19.088,17.332,0.858,0.0212,18.066,1.096,0.0173,0.9594,0.9404,0.0276
19.088,16.724,0.7985,0.018,18.066,1.096,0.0173,0.9257,0.8752,0.0241
18.724,20.587,1.1805,0.0188,18.066,1.048,0.0208,1.1395,1.2372,0.0315
18.724,20.211,1.1435,0.0177,18.066,1.048,0.0208,1.1187,1.1984,0.0302
18.724,19.088,1.0355,0.0169,18.066,1.048,0.0208,1.0566,1.0852,0.0279
18.724,18.724,1.0,0.0184,18.066,1.048,0.0208,1.0364,1.048,0.0284
18.724,17.604,0.923,0.0179,18.066,1.048,0.0208,0.9744,0.9673,0.0268
18.724,17.332,0.9035,0.021,18.066,1.048,0.0208,0.9594,0.9469,0.0289
18.724,16.724,0.824,0.0184,18.066,1.048,0.0208,0.9257,0.8636,0.0258
18.066,20.587,1.2325,0.0176,18.066,1.0,0.0171,1.1395,1.2325,0.0275
18.066,20.211,1.1995,0.0189,18.066,1.0,0.0171,1.1187,1.1995,0.0279
18.066,19.088,1.096,0.0173,18.066,1.0,0.0171,1.0566,1.096,0.0255
18.066,18.724,1.048,0.0208,18.066,1.0,0.0171,1.0364,1.048,0.0275
18.066,17.604,0.9735,0.0186,18.066,1.0,0.0171,0.9744,0.9735,0.025
18.066,17.332,0.939,0.0208,18.066,1.0,0.0171,0.9594,0.939,0.0263
18.066,16.724,0.8685,0.0181,18.066,1.0,0.0171,0.9257,0.8685,0.0234
17.604,20.587,1.276,0.0162,18.066,0.9735,0.0186,1.1395,1.2422,0.0285
17.604,20.211,1.2375,0.0191,18.066,0.9735,0.0186,1.1187,1.2047,0.0296
17.604,19.088,1.127,0.0164,18.066,0.9735,0.0186,1.0566,1.0971,0.0263
17.604,18.724,1.084,0.0209,18.066,0.9735,0.0186,1.0364,1.0553,0.0286
17.604,17.604,1.0,0.016,18.066,0.9735,0.0186,0.9744,0.9735,0.0243
17.604,17.332,0.976,0.0199,18.066,0.9735,0.0186,0.9594,0.9501,0.0265
17.604,16.724,0.8975,0.0187,18.066,0.9735,0.0186,0.9257,0.8737,0.0247
17.332,20.587,1.3135,0.0161,18.066,0.939,0.0208,1.1395,1.2334,0.0312
17.332,20.211,1.277,0.0187,18.066,0.939,0.0208,1.1187,1.1991,0.0318
17.332,19.088,1.155,0.0164,18.066,0.939,0.0208,1.0566,1.0845,0.0285
17.332,18.724,1.11,0.0219,18.066,0.939,0.0208,1.0364,1.0423,0.0309
17.332,17.604,1.025,0.0191,18.066,0.939,0.0208,0.9744,0.9625,0.0279
17.332,17.332,1.0,0.0178,18.066,0.939,0.0208,0.9594,0.939,0.0267
17.332,16.724,0.926,0.0181,18.066,0.939,0.0208,0.9257,0.8695,0.0257
16.724,20.587,1.4225,0.0166,18.066,0.8685,0.0181,1.1395,1.2354,0.0295
16.724,20.211,1.3805,0.0182,18.066,0.8685,0.0181,1.1187,1.199,0.0296
16.724,19.088,1.253,0.0167,18.066,0.8685,0.0181,1.0566,1.0882,0.0269
16.724,18.724,1.209,0.0197,18.066,0.8685,0.0181,1.0364,1.05,0.0278
16.724,17.604,1.116,0.019,18.066,0.8685,0.0181,0.9744,0.9692,0.0261
16.724,17.332,1.0825,0.02,18.066,0.8685,0.0181,0.9594,0.9402,0.0262
16.724,16.724,1.0,0.0169,18.066,0.8685,0.0181,0.9257,0.8685,0.0233
