Parameters,Values,Std
hcp FeNiSi Peak 0 Intensity,6.021281822204332,0.3654598265075292
hcp FeNiSi Peak 1 Intensity,2.1706060621510504e-18,0.11217229900206818
hcp FeNiSi Peak 2 Intensity,15.709544775385082,0.9764690372473523
extrapeak Peak 0 Intensity,6.2918420750556585,2.745109874284267
hcp FeNiSi Peak Width,0.489991771693083,0.013378027628405502
extrapeak Peak Width,0.16022856824389617,0.014330277462669344
hcp FeNiSi Peak Shape,0.999999999874049,0.10748934708093624
extrapeak Peak Shape,0.5163846334582338,0.3074177780334326
hcp FeNiSi a,2.36788262497529,0.0004061097047230646
hcp FeNiSi c,3.798181907420424,0.0024294703776768923
extrapeak a,2.984992336525453,0.00016961561965150217
Background 0,3117.7011402800094,31.774667802840064
Background 1,-114.085467156051,2.4420233500788906
Background 2,1.4006282647448804,0.046838218181054735
