,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNiSi Peak Width,extrapeak Peak Width,hcp FeNiSi Peak Shape,extrapeak Peak Shape,hcp FeNiSi a,hcp FeNiSi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNiSi Peak 0 Intensity,0.13356088479091333,0.02153752439606226,0.3414836893515972,0.018874223482077172,-0.003815535422546008,-0.00028569597557379144,-0.03720596097054946,-0.002955527752776874,1.2174137490167177e-06,-4.273623310271584e-05,5.454035743788763e-06,-1.1978983183801364,0.10512549417787907,-0.0022991810669894734
hcp FeNiSi Peak 1 Intensity,0.02153752439606226,0.012582624663409387,0.05643495906254286,0.00995542035501321,-0.0004532066243108102,-0.00013034263765875198,-0.005535319258552824,-0.0014442636536349256,-3.7033250828565272e-06,1.8356021570760086e-05,1.0587135543256452e-07,1.253124150327258,-0.09380288679458948,0.0017298307316357833
hcp FeNiSi Peak 2 Intensity,0.3414836893515971,0.05643495906254285,0.9534917807027711,-0.08607635142390745,-0.010531244042167676,-0.00047012137222449227,-0.10284316274159756,0.005763155396048228,-1.830860355919281e-06,-0.00010840389924589258,1.1206962361241645e-05,-2.8942947684361466,0.2727940105103147,-0.006273071988790908
extrapeak Peak 0 Intensity,0.018874223482077172,0.00995542035501321,-0.08607635142390745,7.535628221892984,0.002657221650889554,-0.03684133839749132,0.014284757571753926,-0.8426609731581107,0.0002656699097859325,-0.0013976746832497571,-5.105276597183007e-06,23.83856283035186,-1.7708857474732935,0.03281593857805241
hcp FeNiSi Peak Width,-0.0038155354225460074,-0.00045320662431081,-0.010531244042167676,0.002657221650889554,0.00017897162322638092,-5.466954992637166e-06,0.0012941833272943134,-0.00026157941664660373,-9.668484760062883e-10,8.542514536211218e-07,-1.0023167714214149e-07,0.04361230454417437,-0.0036955509716530177,7.685014501889084e-05
extrapeak Peak Width,-0.00028569597557379133,-0.00013034263765875195,-0.0004701213722244924,-0.03684133839749132,-5.466954992637166e-06,0.00020535685215708894,1.854734335262697e-05,0.00419027748303171,-1.535026361170431e-06,8.079216282210223e-06,6.276013001645245e-08,-0.1805491705709293,0.01335686298827708,-0.00024634123036902276
hcp FeNiSi Peak Shape,-0.037205960970549457,-0.005535319258552821,-0.10284316274159756,0.014284757571753924,0.0012941833272943134,1.8547343352626987e-05,0.011553959735885976,-0.0012059914172747775,5.854180676529849e-08,1.0957226353779743e-05,-1.1858061567560985e-06,0.35324426270769865,-0.0318378737953268,0.0007044890391199552
extrapeak Peak Shape,-0.0029555277527768724,-0.0014442636536349256,0.0057631553960482305,-0.8426609731581105,-0.00026157941664660373,0.004190277483031709,-0.0012059914172747772,0.09450569025101285,-3.0444752798429654e-05,0.00016018658849121037,7.249400408732178e-07,-2.9126487491943074,0.2161286213595077,-0.003999985106459791
hcp FeNiSi a,1.2174137490167183e-06,-3.7033250828565272e-06,-1.8308603559192815e-06,0.0002656699097859325,-9.668484760062883e-10,-1.535026361170431e-06,5.8541806765298556e-08,-3.0444752798429657e-05,1.6492509227025475e-07,-9.168082152289609e-07,4.139220604051382e-09,-0.0007803626816381268,6.389220715864487e-05,-1.285285500095219e-06
hcp FeNiSi c,-4.273623310271584e-05,1.8356021570760086e-05,-0.00010840389924589259,-0.0013976746832497571,8.542514536211218e-07,8.079216282210223e-06,1.0957226353779745e-05,0.0001601865884912104,-9.168082152289609e-07,5.9023263160095016e-06,-2.673263226430385e-08,0.010610129948277418,-0.0008538926378494094,1.703179768835024e-05
extrapeak a,5.454035743788763e-06,1.0587135543256465e-07,1.1206962361241648e-05,-5.105276597183007e-06,-1.002316771421415e-07,6.276013001645243e-08,-1.1858061567560987e-06,7.249400408732178e-07,4.139220604051382e-09,-2.673263226430385e-08,2.8769458429763045e-08,-0.0005962822634931994,4.573872944254161e-05,-8.762444592590629e-07
Background 0,-1.1978983183801364,1.253124150327258,-2.8942947684361466,23.838562830351858,0.04361230454417437,-0.1805491705709293,0.35324426270769865,-2.9126487491943074,-0.0007803626816381268,0.010610129948277416,-0.0005962822634931994,1009.629513980841,-77.53088102877484,1.4832749522056048
Background 1,0.10512549417787907,-0.09380288679458948,0.2727940105103147,-1.7708857474732935,-0.0036955509716530186,0.01335686298827708,-0.0318378737953268,0.2161286213595077,6.389220715864487e-05,-0.0008538926378494093,4.573872944254161e-05,-77.53088102877484,5.963478042330528,-0.11428081086419097
Background 2,-0.0022991810669894734,0.0017298307316357833,-0.006273071988790908,0.03281593857805241,7.685014501889084e-05,-0.00024634123036902276,0.0007044890391199553,-0.003999985106459791,-1.285285500095219e-06,1.7031797688350236e-05,-8.76244459259063e-07,1.4832749522056048,-0.11428081086419097,0.0021938186823760863
