2theta,Intensity,Model,Residual,Background,hcp FeNiSi,extrapeak
23.00141627,1234.448486,1236.716743821693,-2.2682578216929414,1234.5974234441737,1.1444198432475745,0.9749005342716254
23.0115954,1234.0157470000001,1236.2698750387447,-2.2541280387445113,1234.092148303238,1.1609090995731264,1.0168176359334358
23.02177453,1233.241943,1235.8267399354,-2.584796935399936,1233.5871634136222,1.177784843178305,1.0617916785995214
23.03195366,1233.862793,1235.3876631382332,-1.5248701382331546,1233.0824687753266,1.1950593873972277,1.1101349755093581
23.04213279,1234.798706,1234.9530042767335,-0.15429827673347063,1232.5780643883506,1.2127455355131544,1.1621943528697545
23.05231192,1234.863159,1234.5231611619631,0.33999783803687933,1232.0739502526949,1.2308566039667252,1.218354305301561
23.06249105,1233.7285160000001,1234.098573119231,-0.37005711923097806,1231.57012636836,1.249406446831478,1.2790403040396037
23.07267018,1233.818726,1233.6797244768695,0.139001523130446,1231.0665927353439,1.2684094816345737,1.3447222598910966
23.08284931,1234.263428,1233.2671482203732,0.996279779626775,1230.5633493536488,1.2878807166057191,1.415918150118692
23.09302844,1233.78064,1232.8614298319512,0.9192101680487212,1230.0603962232735,1.3078357794431819,1.4931978292345034
23.10320757,1232.358032,1232.4632113509856,-0.10517935098550879,1229.557733344218,1.3282909476916027,1.577187059076134
23.1133867,1230.421509,1232.0731957118455,-1.6516867118455139,1229.055360716483,1.3492631808330173,1.6685718145295858
23.12356584,1229.667236,1231.6921510736606,-2.0249150736606225,1228.5532778469633,1.3707701755964257,1.7681030511009366
23.13374497,1230.501953,1231.3209174903582,-0.8189644903582121,1228.0514857221538,1.3928303167717824,1.8766014514327227
23.1439241,1231.295654,1230.9604104925236,0.3352435074764344,1227.549983848664,1.415462841864857,1.9949638019948872
23.15410323,1231.439941,1230.6116292947129,0.8283117052872058,1227.0487722264938,1.4386877972338183,2.124169270985313
23.16428236,1231.515991,1230.2756642822505,1.24032671774944,1226.5478508556444,1.4625261013924071,2.265287325213691
23.17446149,1231.570679,1229.9537064241304,1.6169725758695677,1226.0472197361146,1.4869995899375974,2.4194870980782333
23.18464062,1231.955811,1229.6470587218673,2.308752278132715,1225.5468788679052,1.5121310631273397,2.5880487908348493
23.19481975,1232.245483,1229.3571503132628,2.888332686737158,1225.0468282510158,1.5379443362823966,2.7723777259645157
23.20499888,1230.981445,1229.0855540084287,1.8958909915711502,1224.547067885446,1.5644642931990287,2.974021829783569
23.21517801,1229.8282470000001,1228.834008227692,0.9942387723081083,1224.0475977711972,1.5917169427723237,3.1946935137225307
23.22535714,1230.436523,1228.604444544473,1.832078455527153,1223.5484179082678,1.6197294790445718,3.4362971571604795
23.23553627,1230.127319,1228.3990223197109,1.728296680289077,1223.049528296658,1.6485303449082718,3.700963678144505
23.2457154,1228.819946,1228.2201722583093,0.5997737416907967,1222.5509289363692,1.678149299710279,3.9910940222298334
23.25589453,1227.8514400000001,1228.0706511343806,-0.21921113438042994,1222.0526198274001,1.708617491021104,4.309413815959272
23.26607366,1226.616333,1227.953610433277,-1.337277433276995,1221.5546009697512,1.7399675308528317,4.659041932673051
23.27625279,1225.51123,1227.8726822553463,-2.361452255346194,1221.0568723634224,1.7722335766294075,5.043576315294426
23.28643193,1224.571167,1227.8320865052428,-3.260919505242782,1220.5594335198714,1.805451450348529,5.467201535022917
23.29661106,1223.197876,1227.83676435426,-4.6388883542599615,1220.062285416468,1.8396585985981102,5.934820339193771
23.30679019,1222.7067869999998,1227.8925431291411,-5.185756129141282,1219.5654275643842,1.8748943855817568,6.4522211791751936
23.31696932,1223.417114,1228.0063398719751,-4.589225871975032,1219.0688599636208,1.9112000670500622,7.026279841304228
23.32714845,1224.057861,1228.1864097407301,-4.128548740730139,1218.5725826141775,1.948618932586459,7.665208193966315
23.33732758,1224.6972660000001,1228.4426461345593,-3.7453801345591273,1218.0765955160537,1.9871964228352663,8.378854195670423
23.34750671,1225.8342289999998,1228.786937015793,-2.9527080157931778,1217.5808986692505,2.0269802543291564,9.179058092213403
23.35768584,1225.42749,1229.2335765362955,-3.8060865362954246,1217.0854920737675,2.068020552449067,10.080063910078925
23.36786497,1225.768799,1229.799719181411,-4.0309201814111475,1216.5903757296041,2.110369993088465,11.098973458718454
23.3780441,1227.047729,1230.5058398588142,-3.4581108588142797,1216.0955496367612,2.154083953634527,12.256206268418376
23.38822323,1227.9467769999999,1231.3761183996032,-3.429341399603345,1215.6010137952383,2.1992206739230804,13.575883930441895
23.39840236,1228.677368,1232.4385855954106,-3.7612175954106988,1215.1067682050352,2.245841427870187,15.085975962505149
23.40858149,1230.248901,1233.7247269981258,-3.475825998125856,1214.6128128661524,2.294010706533004,16.817903425440488
23.41876062,1232.481445,1235.2680096214933,-2.786564621493426,1214.1191477785892,2.343796413404443,18.80506542949957
23.42893975,1236.2905269999999,1237.1004477824931,-0.8099207824932364,1213.6257729423467,2.395270072801857,21.079404767344634
23.43911888,1240.751831,1239.2458716265403,1.5059593734597456,1213.1326883574243,2.448507052267502,23.664676216848452
23.44929802,1244.56604,1241.708165419853,2.8578745801469267,1212.6398935398415,2.50358685500244,26.564685025009034
23.45947715,1247.882202,1244.4528858521373,3.4293161478626644,1212.1473894578444,2.5605931550548076,29.744903239238226
23.46965628,1251.152954,1247.3825631765917,3.7703908234082064,1211.655175627167,2.6196143924240585,33.10777315700078
23.47983541,1253.373657,1250.3110701917587,3.062586808241349,1211.16325204781,2.680743847403388,36.46707429654535
23.49001454,1255.126099,1252.9516256338645,2.174473366135544,1210.6716187197728,2.744080002212862,39.53592691187877
