,extrapeak Peak 0 Intensity,bcc FeNi Peak 0 Intensity,extrapeak Peak Width,bcc FeNi Peak Width,extrapeak Peak Shape,bcc FeNi Peak Shape,extrapeak a,bcc FeNi a,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,0.4184792429661594,0.009133165472318544,-0.014726377761415308,-2.4585358797471713e-05,-0.8163343145148316,-2.5354700207931098e-05,5.213859689136455e-06,1.3003891089270524e-07,-4.11186449330248,0.3381094960268103,-0.006926372985231035
bcc FeNi Peak 0 Intensity,0.009133165472318544,0.4573666986931122,-0.0005207928920978176,-0.00035861665621031213,-0.019163764587661555,-0.0008148212996480093,5.536437591614241e-06,-1.4548445204550513e-07,-3.0772916285408516,0.2502881894657172,-0.005072432357297642
extrapeak Peak Width,-0.014726377761415308,-0.0005207928920978176,0.0006448939919982868,1.2172593792873258e-06,0.02932737774209086,1.348671729348155e-06,6.152922498775755e-08,2.5286430977126254e-09,0.07104786824326066,-0.006216396215538053,0.00013418635062862046
bcc FeNi Peak Width,-2.4585358797471713e-05,-0.0003586166562103122,1.2172593792873258e-06,4.506371090336045e-07,5.028308564993977e-05,6.330075358162181e-07,-1.1623114334578473e-08,2.2681595670178917e-10,0.0062457000568714414,-0.0005082388093088322,1.0308454676789595e-05
extrapeak Peak Shape,-0.8163343145148316,-0.019163764587661555,0.02932737774209086,5.028308564993977e-05,1.5962375981145767,5.2517528407365225e-05,-8.528723386883759e-06,-2.0421411459117862e-07,7.521100757396783,-0.620935972044385,0.012765835041498393
bcc FeNi Peak Shape,-2.5354700207931098e-05,-0.0008148212996480093,1.348671729348155e-06,6.330075358162181e-07,5.2517528407365225e-05,1.5380533297032192e-06,-1.3668257094336241e-08,2.902255339062877e-10,0.007506699711117665,-0.0006106749818239035,1.2380310441978488e-05
extrapeak a,5.213859689136456e-06,5.536437591614241e-06,6.152922498775752e-08,-1.1623114334578473e-08,-8.52872338688376e-06,-1.3668257094336243e-08,1.2707344880152398e-07,-2.9058176701272952e-11,-0.0020366957150239973,0.00016467736663031295,-3.3245869965645874e-06
bcc FeNi a,1.300389108927053e-07,-1.4548445204550513e-07,2.528643097712627e-09,2.2681595670178917e-10,-2.0421411459117862e-07,2.9022553390628763e-10,-2.905817670127294e-11,1.7398281727149667e-09,3.982002562181594e-05,-3.3384235531217765e-06,6.97901109742216e-08
Background 0,-4.11186449330248,-3.0772916285408516,0.07104786824326066,0.006245700056871442,7.521100757396785,0.007506699711117667,-0.0020366957150239973,3.982002562181595e-05,1121.7440817507352,-91.28520572943303,1.8546934070881052
Background 1,0.3381094960268103,0.2502881894657172,-0.006216396215538053,-0.0005082388093088322,-0.620935972044385,-0.0006106749818239035,0.00016467736663031292,-3.338423553121777e-06,-91.28520572943303,7.431258248377324,-0.15103757636685416
Background 2,-0.006926372985231035,-0.005072432357297642,0.00013418635062862046,1.0308454676789595e-05,0.012765835041498393,1.2380310441978488e-05,-3.324586996564587e-06,6.97901109742216e-08,1.8546934070881052,-0.15103757636685416,0.003070824326935513
