,bcc FeNi Peak 0 Intensity,extrapeak Peak 0 Intensity,bcc FeNi Peak Width,extrapeak Peak Width,bcc FeNi Peak Shape,extrapeak Peak Shape,bcc FeNi a,extrapeak a,Background 0,Background 1,Background 2
bcc FeNi Peak 0 Intensity,0.6869653976297545,-0.05121633523868313,-0.004145313859929182,0.003024284825207059,-0.24939868003023824,0.024318434894718022,-2.0838859377222107e-07,-9.881319966419187e-06,-4.8866355401714,0.39604329844742336,-0.007980260143767657
extrapeak Peak 0 Intensity,-0.051216335238683124,0.6971845859510978,0.00029690605603652215,-0.0327816941045073,0.0182262884147932,-0.321262172320491,3.5422700034254508e-06,1.4327334113090473e-05,-9.282102161735654,0.7726395506773237,-0.016002593652862843
bcc FeNi Peak Width,-0.004145313859929182,0.0002969060560365222,3.058683963722115e-05,-8.072623038493926e-06,0.001531723189892227,-0.0001151321652457187,3.322594269867391e-09,-3.5021234111495484e-08,0.07459318184571925,-0.006113329017404784,0.0001247086927287162
extrapeak Peak Width,0.0030242848252070567,-0.0327816941045073,-8.072623038493933e-06,0.0018803146637192917,-0.0010107811799377165,0.01584319330763168,-1.2474079811300306e-07,6.101582281446684e-07,0.31378267410997585,-0.02756365685681464,0.0005971136809976604
bcc FeNi Peak Shape,-0.24939868003023818,0.018226288414793162,0.001531723189892227,-0.0010107811799377159,0.09072283108274813,-0.00847187847925792,8.990602398492684e-08,2.8837584243608887e-06,2.095314458402165,-0.17031121333875435,0.003442876461911954
extrapeak Peak Shape,0.024318434894718022,-0.32126217232049104,-0.00011513216524571876,0.01584319330763168,-0.00847187847925794,0.14995735107856853,-1.5137210798266715e-06,-3.3031755173455352e-06,3.9746939533524652,-0.33456612746299214,0.006996837333336013
bcc FeNi a,-2.0838859377222128e-07,3.5422700034254508e-06,3.3225942698673905e-09,-1.2474079811300304e-07,8.990602398492694e-08,-1.5137210798266715e-06,4.9554857730868356e-09,3.459302022155487e-10,-1.7239901531477413e-06,-1.6770652531899709e-07,9.60441046149906e-09
extrapeak a,-9.88131996641918e-06,1.4327334113090475e-05,-3.5021234111495465e-08,6.101582281446683e-07,2.8837584243608887e-06,-3.303175517345537e-06,3.459302022155487e-10,2.4547801689996764e-07,-0.007100388228776166,0.0005728665437454808,-1.1542449023695683e-05
Background 0,-4.886635540171401,-9.282102161735654,0.07459318184571927,0.31378267410997585,2.095314458402165,3.9746939533524657,-1.7239901531477413e-06,-0.007100388228776166,2286.329515961323,-186.38227762726183,3.792009098174308
Background 1,0.39604329844742336,0.7726395506773236,-0.006113329017404784,-0.027563656856814635,-0.17031121333875435,-0.3345661274629922,-1.6770652531899709e-07,0.0005728665437454808,-186.38227762726183,15.201771777423176,-0.3094346308234713
Background 2,-0.007980260143767655,-0.01600259365286284,0.0001247086927287162,0.0005971136809976603,0.0034428764619119537,0.006996837333336013,9.60441046149906e-09,-1.1542449023695681e-05,3.7920090981743075,-0.3094346308234713,0.006301462270200499
