Vj,Vk,xi(Vk/Vj),dxi(Vk/Vj),Vi,xi(Vj/Vi),dxi(Vj/Vi),Vk/Vi,xi(Vk/Vi),dxi(Vk/Vi)
20.587,20.587,1.0,0.0131,20.211,1.015,0.0243,1.0186,1.015,0.0277
20.587,19.088,0.8835,0.017,20.211,1.015,0.0243,0.9444,0.8968,0.0275
20.587,18.724,0.85,0.0207,20.211,1.015,0.0243,0.9264,0.8627,0.0295
20.587,18.066,0.804,0.0206,20.211,1.015,0.0243,0.8939,0.8161,0.0286
20.587,17.604,0.785,0.0187,20.211,1.015,0.0243,0.871,0.7968,0.0269
20.587,17.332,0.7585,0.0217,20.211,1.015,0.0243,0.8576,0.7699,0.0287
20.587,16.724,0.6935,0.0228,20.211,1.015,0.0243,0.8275,0.7039,0.0286
20.211,20.587,1.015,0.0243,20.211,1.0,0.0168,1.0186,1.015,0.0297
20.211,19.088,0.9025,0.0173,20.211,1.0,0.0168,0.9444,0.9025,0.023
20.211,18.724,0.8755,0.0199,20.211,1.0,0.0168,0.9264,0.8755,0.0247
20.211,18.066,0.822,0.0216,20.211,1.0,0.0168,0.8939,0.822,0.0256
20.211,17.604,0.799,0.0185,20.211,1.0,0.0168,0.871,0.799,0.0229
20.211,17.332,0.782,0.0204,20.211,1.0,0.0168,0.8576,0.782,0.0243
20.211,16.724,0.7155,0.0209,20.211,1.0,0.0168,0.8275,0.7155,0.0241
19.088,20.587,1.1255,0.0183,20.211,0.9025,0.0173,1.0186,1.0158,0.0255
19.088,19.088,1.0,0.0149,20.211,0.9025,0.0173,0.9444,0.9025,0.0219
19.088,18.724,0.9635,0.0206,20.211,0.9025,0.0173,0.9264,0.8696,0.025
19.088,18.066,0.9125,0.0199,20.211,0.9025,0.0173,0.8939,0.8235,0.0239
19.088,17.604,0.892,0.018,20.211,0.9025,0.0173,0.871,0.805,0.0224
19.088,17.332,0.858,0.0212,20.211,0.9025,0.0173,0.8576,0.7743,0.0242
19.088,16.724,0.7985,0.018,20.211,0.9025,0.0173,0.8275,0.7206,0.0213
18.724,20.587,1.1805,0.0188,20.211,0.8755,0.0199,1.0186,1.0335,0.0287
18.724,19.088,1.0355,0.0169,20.211,0.8755,0.0199,0.9444,0.9066,0.0254
18.724,18.724,1.0,0.0184,20.211,0.8755,0.0199,0.9264,0.8755,0.0256
18.724,18.066,0.954,0.0194,20.211,0.8755,0.0199,0.8939,0.8352,0.0255
18.724,17.604,0.923,0.0179,20.211,0.8755,0.0199,0.871,0.8081,0.0241
18.724,17.332,0.9035,0.021,20.211,0.8755,0.0199,0.8576,0.791,0.0257
18.724,16.724,0.824,0.0184,20.211,0.8755,0.0199,0.8275,0.7214,0.023
18.066,20.587,1.2325,0.0176,20.211,0.822,0.0216,1.0186,1.0131,0.0303
18.066,19.088,1.096,0.0173,20.211,0.822,0.0216,0.9444,0.9009,0.0276
18.066,18.724,1.048,0.0208,20.211,0.822,0.0216,0.9264,0.8615,0.0284
18.066,18.066,1.0,0.0171,20.211,0.822,0.0216,0.8939,0.822,0.0258
18.066,17.604,0.9735,0.0186,20.211,0.822,0.0216,0.871,0.8002,0.026
18.066,17.332,0.939,0.0208,20.211,0.822,0.0216,0.8576,0.7719,0.0265
18.066,16.724,0.8685,0.0181,20.211,0.822,0.0216,0.8275,0.7139,0.0239
17.604,20.587,1.276,0.0162,20.211,0.799,0.0185,1.0186,1.0195,0.0269
17.604,19.088,1.127,0.0164,20.211,0.799,0.0185,0.9444,0.9005,0.0246
17.604,18.724,1.084,0.0209,20.211,0.799,0.0185,0.9264,0.8661,0.0261
17.604,18.066,1.0315,0.0195,20.211,0.799,0.0185,0.8939,0.8242,0.0246
17.604,17.604,1.0,0.016,20.211,0.799,0.0185,0.871,0.799,0.0225
17.604,17.332,0.976,0.0199,20.211,0.799,0.0185,0.8576,0.7798,0.0241
17.604,16.724,0.8975,0.0187,20.211,0.799,0.0185,0.8275,0.7171,0.0223
17.332,20.587,1.3135,0.0161,20.211,0.782,0.0204,1.0186,1.0272,0.0296
17.332,19.088,1.155,0.0164,20.211,0.782,0.0204,0.9444,0.9032,0.0268
17.332,18.724,1.11,0.0219,20.211,0.782,0.0204,0.9264,0.868,0.0284
17.332,18.066,1.064,0.0195,20.211,0.782,0.0204,0.8939,0.832,0.0265
17.332,17.604,1.025,0.0191,20.211,0.782,0.0204,0.871,0.8016,0.0257
17.332,17.332,1.0,0.0178,20.211,0.782,0.0204,0.8576,0.782,0.0247
17.332,16.724,0.926,0.0181,20.211,0.782,0.0204,0.8275,0.7241,0.0236
16.724,20.587,1.4225,0.0166,20.211,0.7155,0.0209,1.0186,1.0178,0.032
16.724,19.088,1.253,0.0167,20.211,0.7155,0.0209,0.9444,0.8965,0.0288
16.724,18.724,1.209,0.0197,20.211,0.7155,0.0209,0.9264,0.865,0.0289
16.724,18.066,1.152,0.0188,20.211,0.7155,0.0209,0.8939,0.8243,0.0276
16.724,17.604,1.116,0.019,20.211,0.7155,0.0209,0.871,0.7985,0.027
16.724,17.332,1.0825,0.02,20.211,0.7155,0.0209,0.8576,0.7745,0.0268
16.724,16.724,1.0,0.0169,20.211,0.7155,0.0209,0.8275,0.7155,0.0241
